name,first,last,middle,title,suffix,name_noised,first_noised,last_noised,middle_noised,title_noised,suffix_noised
John Ssebaana Kizito,John,Kizito,Ssebaana,,,John Sebaana Kizito,John,Kizito,Sebaana,,
"Jones, V M",V,Jones,M,,,"Jones,V M",V,Jones,M,,
Hama Amirou Ly,Hama,Ly,Amirou,,,Hma Amirou Ly,Hma,Ly,Amirou,,
"Nascimento, Lopo Do",Lopo,Nascimento,Do,,,"Nascimento, Lopo Djo",Lopo,Nascimento,Djo,,
Ras Mengesha Yohannes,Ras,Yohannes,Mengesha,,,Ras Mngesha Yohannes,Ras,Yohannes,Mngesha,,
"Davies, H O",H,Davies,O,,,"Davies,H O",H,Davies,O,,
Martha Sandolo Belleh,Martha,Belleh,Sandolo,,,MTartha Sandolo Belleh,MTartha,Belleh,Sandolo,,
"Akandu, Lawrence Chimezie",Lawrence,Akandu,Chimezie,,,"Akandu, Lawrence Chiezie",Lawrence,Akandu,Chiezie,,
Darge Sahle Selassie,Darge,Selassie,Sahle,,,Darge Sahle Sepassie,Darge,Sepassie,Sahle,,
"Erhenede, Justice John",Justice,Erhenede,John,,,"Erhenede, JuStice John",JuStice,Erhenede,John,,
Fred Kwasi Apaloo,Fred,Apaloo,Kwasi,,,Frd Kwasi Apaloo,Frd,Apaloo,Kwasi,,
"Chaurembo, Ania Said",Ania,Chaurembo,Said,,,"Chaurembo, Ania Sa2d",Ania,Chaurembo,Sa2d,,
Mathias Meinrad Chikawe,Mathias,Chikawe,Meinrad,,,rMathias Meinrad Chikawe,rMathias,Chikawe,Meinrad,,
"Yahia, Wissem Ben",Wissem,Yahia,Ben,,,"Yahia, Wisem Ben",Wisem,Yahia,Ben,,
Aziza Sleyum Ally,Aziza,Ally,Sleyum,,,Aziza Sl8eyum Ally,Aziza,Ally,Sl8eyum,,
"Barque, Barry Moussa",Barry,Barque,Moussa,,,"Barque, Bary Moussa",Bary,Barque,Moussa,,
Erinayo Wilson Oryema,Erinayo,Oryema,Wilson,,,ErinayoWilson Oryema,Erinayo,Oryema,Wilson,,
"Dada, Idi Amin",Idi,Dada,Amin,,,"Dad, Idi Amin",Idi,Dad,Amin,,
Hilary R W Johnson,Hilary,Johnson,R W,,,Hilary Ru W Johnson,Hilary,Johnson,Ru W,,
"Gana, Mohammed Abba",Mohammed,Gana,Abba,,,"Gana, Mouammed Abba",Mouammed,Gana,Abba,,
Asha Haji Elmi,Asha,Elmi,Haji,,,Asa Haji Elmi,Asa,Elmi,Haji,,
"Dlamini, Jameson Mbilini",Jameson,Dlamini,Mbilini,,,"Dlamini,, Jameson Mbilini",Jameson,Dlamini,Mbilini,,
Thomas R Odhiambo,Thomas,Odhiambo,R,,,"Thoma,s R Odhiambo","Thoma,s",Odhiambo,R,,
"Nouira, Hedi Amara",Hedi,Nouira,Amara,,,"Nouira, Hedi ATara",Hedi,Nouira,ATara,,
F Abiola Irele,F,Irele,Abiola,,,F Abiopa Irele,F,Irele,Abiopa,,
"Achour, Selim Ben",Selim,Achour,Ben,,,"Achour, SelGim Ben",SelGim,Achour,Ben,,
J E A Wey,J,Wey,E A,,,J EA Wey,J,Wey,E A,,
"Dodge, Ralph Edward",Ralph,Dodge,Edward,,,"DodgD, Ralph Edward",Ralph,DodgD,Edward,,
John Kodwo Amissah,John,Amissah,Kodwo,,,John Kodwo Aissah,John,Aissah,Kodwo,,
"Ezeh, Alphonsus Azuogu",Alphonsus,Ezeh,Azuogu,,,"Ezdh, Alphonsus Azuogu",Alphonsus,Ezdh,Azuogu,,
Abubakar Tafawa Balewa,Abubakar,Balewa,Tafawa,,,Abubaka Tafawa Balewa,Abubaka,Balewa,Tafawa,,
"Mbongo, Mbedi A",Mbedi,Mbongo,A,,,"Mbongo, MbPdi A",MbPdi,Mbongo,A,,
Amadou Tidiane Tall,Amadou,Tall,Tidiane,,,Amadou TidianPe Tall,Amadou,Tall,TidianPe,,
"Seko, Mobutu Sese",Mobutu,Seko,Sese,,,"Sek, Mobutu Sese",Mobutu,Sek,Sese,,
Fernando Neves Nando,Fernando,Nando,Neves,,,Fernando Nevew Nando,Fernando,Nando,Nevew,,
"Bayntun, Henry William",Henry,Bayntun,William,,,"Bayntun, QHenry William",QHenry,Bayntun,William,,
Helton Samo Cunha,Helton,Cunha,Samo,,,Helton Sao Cunha,Helton,Cunha,Sao,,
"Dorda, Abuzed Omar",Abuzed,Dorda,Omar,,,"Dord, Abuzed Omar",Abuzed,Dord,Omar,,
Amal Nuri Safar,Amal,Safar,Nuri,,,Amal Nuri SaQfar,Amal,SaQfar,Nuri,,
"Samatar, Muse Dude",Muse,Samatar,Dude,,,"Samatar, Muse Dudte",Muse,Samatar,Dudte,,
Hemed Mohammed Hemed,Hemed,Hemed,Mohammed,,,Hemmed Mohammed Hemed,Hemmed,Hemed,Mohammed,,
"Onu, Sylvester Umaru",Sylvester,Onu,Umaru,,,"Onu, SyKlvester Umaru",SyKlvester,Onu,Umaru,,
Ama Sefa Yeboah,Ama,Yeboah,Sefa,,,Aa Sefa Yeboah,Aa,Yeboah,Sefa,,
"Deerow, Abdallah Isaaq",Abdallah,Deerow,Isaaq,,,"Deerow, AbdaIllah Isaaq",AbdaIllah,Deerow,Isaaq,,
Khalida Rashid Khan,Khalida,Khan,Rashid,,,Khalida Rashid.Khan,Khalida,Khan,Rashid,,
"Edozien, Joseph Chike",Joseph,Edozien,Chike,,,"Edozien, Josph Chike",Josph,Edozien,Chike,,
Maua Abeid Daftari,Maua,Daftari,Abeid,,,Maua Mbeid Daftari,Maua,Daftari,Mbeid,,
"Toivo, Andimba Toivo Ya",Andimba,Toivo,Toivo Ya,,,"Toivo,Andimba Toivo Ya",Andimba,Toivo,Toivo Ya,,
Louis Lansana Beavogui,Louis,Beavogui,Lansana,,,Louis Lansana eavogui,Louis,eavogui,Lansana,,
"Khamis, Mwajuma Hassan",Mwajuma,Khamis,Hassan,,,"Khamis, Mwaquma Hassan",Mwaquma,Khamis,Hassan,,
Alamin Mohammed Seid,Alamin,Seid,Mohammed,,,Alamin Mohmmed Seid,Alamin,Seid,Mohmmed,,
"Warner, Bennie Dee",Bennie,Warner,Dee,,,"Warner, Bennie DKee",Bennie,Warner,DKee,,
Gosbert Begumisa Blandes,Gosbert,Blandes,Begumisa,,,Gosbert Begumisa Blandels,Gosbert,Blandels,Begumisa,,
"Mariam, Mahisente Habte",Mahisente,Mariam,Habte,,,"Mariam, Mahisente Habt",Mahisente,Mariam,Habt,,
Habib Ben Yahia,Habib,Yahia,Ben,,,Habib Bfn Yahia,Habib,Yahia,Bfn,,
"Massaoued, Amir Hadj",Amir,Massaoued,Hadj,,,"Massaoued, Amir HadAj",Amir,Massaoued,HadAj,,
Buka Suka Dimka,Buka,Dimka,Suka,,,Buka SuXa Dimka,Buka,Dimka,SuXa,,
"Tuweni, Kamilya Mohammedi",Kamilya,Tuweni,Mohammedi,,,"Tuweni, Kamilya Mohammed",Kamilya,Tuweni,Mohammed,,
Charles N Keenja,Charles,Keenja,N,,,Charles NKeenja,Charles,Keenja,N,,
"Khatib, Muhammed Seif",Muhammed,Khatib,Seif,,,"Khatib, Muhammed Seijf",Muhammed,Khatib,Seijf,,
George Mutandwa Chiweshe,George,Chiweshe,Mutandwa,,,George Mutandwa Chiwehe,George,Chiwehe,Mutandwa,,
"Ameir, Kheri Khatib",Kheri,Ameir,Khatib,,,Ameir. Kheri Khatib,Kheri,Ameir,Khatib,,
Theophilus Adeleke Akinyele,Theophilus,Akinyele,Adeleke,,,Theophilus Adelee Akinyele,Theophilus,Akinyele,Adelee,,
"Odametey, Charles Addo",Charles,Odametey,Addo,,,"Odametey,  Charles Addo",Charles,Odametey,Addo,,
Valery Twite Nahayo,Valery,Nahayo,Twite,,,Valery Twite Nahay,Valery,Nahay,Twite,,
