description,clean,noised
accuracy_parse,0.9787234042553191,0.8226950354609929
accuracy_full,0.8971631205673759,0.4858156028368794
title_accuracy_parse,,
fn_accuracy_parse,0.9964539007092199,0.9184397163120568
mn_accuracy_parse,0.9813084112149533,0.8691588785046729
ln_accuracy_parse,0.9822695035460993,0.8829787234042553
suffix_accuracy_parse,0.8333333333333334,0.7222222222222222
title_accuracy_full,,
fn_accuracy_full,0.9787234042553191,0.7730496453900709
mn_accuracy_full,0.8785046728971962,0.6915887850467289
ln_accuracy_full,0.9574468085106383,0.7198581560283688
suffix_accuracy_full,0.8333333333333334,0.7777777777777778
title_avg_dist_parse,,
fn_avg_dist_parse,0.02127659574468085,0.35815602836879434
mn_avg_dist_parse,0.06542056074766354,0.4485981308411215
ln_avg_dist_parse,0.08865248226950355,0.4645390070921986
suffix_avg_dist_parse,0.3333333333333333,0.5555555555555556
title_avg_dist_full,,
fn_avg_dist_full,0.03900709219858156,0.549645390070922
mn_avg_dist_full,0.2523364485981308,0.794392523364486
ln_avg_dist_full,0.12411347517730496,0.6631205673758865
suffix_avg_dist_full,0.3333333333333333,0.4444444444444444
