description,clean,noised
accuracy_parse,0.9711191335740073,0.8303249097472925
accuracy_full,0.5956678700361011,0.2563176895306859
title_accuracy_parse,,
fn_accuracy_parse,0.9819494584837545,0.8880866425992779
mn_accuracy_parse,0.9823008849557522,0.8849557522123894
ln_accuracy_parse,0.9783393501805054,0.8844765342960289
suffix_accuracy_parse,0.7142857142857143,0.7142857142857143
title_accuracy_full,,
fn_accuracy_full,0.8628158844765343,0.6209386281588448
mn_accuracy_full,0.7345132743362832,0.48672566371681414
ln_accuracy_full,0.776173285198556,0.555956678700361
suffix_accuracy_full,0.5714285714285714,0.2857142857142857
title_avg_dist_parse,,
fn_avg_dist_parse,0.10830324909747292,0.5740072202166066
mn_avg_dist_parse,0.05309734513274336,0.4247787610619469
ln_avg_dist_parse,0.12274368231046931,0.5054151624548736
suffix_avg_dist_parse,0.5714285714285714,0.5714285714285714
title_avg_dist_full,,
fn_avg_dist_full,0.26714801444043323,0.9169675090252708
mn_avg_dist_full,0.45132743362831856,1.0442477876106195
ln_avg_dist_full,0.37184115523465705,0.9675090252707581
suffix_avg_dist_full,0.7142857142857143,1.1428571428571428
