description,clean,noised
accuracy_parse,0.9267399267399268,0.7728937728937729
accuracy_full,0.6556776556776557,0.21611721611721613
title_accuracy_parse,,
fn_accuracy_parse,0.9413919413919414,0.8571428571428571
mn_accuracy_parse,0.912621359223301,0.8252427184466019
ln_accuracy_parse,0.9597069597069597,0.8388278388278388
suffix_accuracy_parse,0.8125,0.8125
title_accuracy_full,,
fn_accuracy_full,0.8205128205128205,0.5531135531135531
mn_accuracy_full,0.7572815533980582,0.6116504854368932
ln_accuracy_full,0.8241758241758241,0.575091575091575
suffix_accuracy_full,0.625,0.4375
title_avg_dist_parse,,
fn_avg_dist_parse,0.2564102564102564,0.6446886446886447
mn_avg_dist_parse,0.23300970873786409,0.5631067961165048
ln_avg_dist_parse,0.2271062271062271,0.6336996336996337
suffix_avg_dist_parse,0.1875,0.25
title_avg_dist_full,,
fn_avg_dist_full,0.38461538461538464,1.032967032967033
mn_avg_dist_full,0.4174757281553398,0.970873786407767
ln_avg_dist_full,0.39194139194139194,0.989010989010989
suffix_avg_dist_full,0.375,0.75
