description,clean,noised
accuracy_parse,0.953307392996109,0.7937743190661478
accuracy_full,0.7431906614785992,0.3229571984435798
title_accuracy_parse,,
fn_accuracy_parse,0.9922178988326849,0.8949416342412452
mn_accuracy_parse,0.9393939393939394,0.8888888888888888
ln_accuracy_parse,0.9571984435797666,0.8599221789883269
suffix_accuracy_parse,0.8333333333333334,0.8333333333333334
title_accuracy_full,,
fn_accuracy_full,0.9221789883268483,0.7198443579766537
mn_accuracy_full,0.7878787878787878,0.5656565656565656
ln_accuracy_full,0.8599221789883269,0.622568093385214
suffix_accuracy_full,0.5,0.8333333333333334
title_avg_dist_parse,,
fn_avg_dist_parse,0.05058365758754864,0.35019455252918286
mn_avg_dist_parse,0.18181818181818182,0.494949494949495
ln_avg_dist_parse,0.1517509727626459,0.45136186770428016
suffix_avg_dist_parse,0.16666666666666666,0.16666666666666666
title_avg_dist_full,,
fn_avg_dist_full,0.13229571984435798,0.5875486381322957
mn_avg_dist_full,0.46464646464646464,1.0101010101010102
ln_avg_dist_full,0.26459143968871596,0.7626459143968871
suffix_avg_dist_full,0.5,0.16666666666666666
