original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
John Ssebaana Kizito,John Ssebaana Kizito,John,Ssebaana,Kizito,,
Hama Amirou Ly,Hama Amirou Ly,Hama,Amirou,Ly,,
"Nascimento, Lopo Do","Nascimento, Lopo Do",Lopo,Do,Nascimento,,
Ras Mengesha Yohannes,Ras Mengesha Yohannes,Ras,Mengesha,Yohannes,,
"Davies, H O","Davies, H O",H,O,Davies,,
Martha Sandolo Belleh,Martha Sandolo Belleh,Martha,Sandolo,Belleh,,
"Akandu, Lawrence Chimezie","Akandu, Lawrence Chimezie",Lawrence,Chimezie,Akandu,,
Darge Sahle Selassie,Darge Sahle Selassie,Darge,Sahle,Selassie,,
"Erhenede, Justice John","Erhenede, Justice John",Justice,John,Erhenede,,
Fred Kwasi Apaloo,Fred Kwasi Apaloo,Fred,Kwasi,Apaloo,,
"Chaurembo, Ania Said","Chaurembo, Ania Said",Ania,Said,Chaurembo,,
Mathias Meinrad Chikawe,Mathias Meinrad Chikawe,Mathias,Meinrad,Chikawe,,
"Yahia, Wissem Ben","Yahia, Wissem Ben",Wissem,Ben,Yahia,,
Aziza Sleyum Ally,Aziza Sleyum Ally,Aziza,Sleyum,Ally,,
"Barque, Barry Moussa","Barque, Barry Moussa",Barry,Moussa,Barque,,
Erinayo Wilson Oryema,Erinayo Wilson Oryema,Erinayo,Wilson,Oryema,,
"Dada, Idi Amin","Dada, Idi Amin",Idi,Amin,Dada,,
Hilary R W Johnson,Hilary R W Johnson,Hilary,R W,Johnson,,
"Gana, Mohammed Abba","Gana, Mohammed Abba",Mohammed,Abba,Gana,,
Asha Haji Elmi,Asha Haji Elmi,Asha,Haji,Elmi,,
"Dlamini, Jameson Mbilini","Dlamini, Jameson Mbilini",Jameson,Mbilini,Dlamini,,
Thomas R Odhiambo,Thomas R Odhiambo,Thomas,R,Odhiambo,,
"Nouira, Hedi Amara","Nouira, Hedi Amara",Hedi,Amara,Nouira,,
F Abiola Irele,F Abiola Irele,F,Abiola,Irele,,
"Achour, Selim Ben","Achour, Selim Ben",Selim,Ben,Achour,,
"Dodge, Ralph Edward","Dodge, Ralph Edward",Ralph,Edward,Dodge,,
John Kodwo Amissah,John Kodwo Amissah,John,Kodwo,Amissah,,
"Ezeh, Alphonsus Azuogu","Ezeh, Alphonsus Azuogu",Alphonsus,Azuogu,Ezeh,,
Abubakar Tafawa Balewa,Abubakar Tafawa Balewa,Abubakar,Tafawa,Balewa,,
"Mbongo, Mbedi A","Mbongo, Mbedi A",Mbedi,A,Mbongo,,
Amadou Tidiane Tall,Amadou Tidiane Tall,Amadou,Tidiane,Tall,,
"Seko, Mobutu Sese","Seko, Mobutu Sese",Mobutu,Sese,Seko,,
Fernando Neves Nando,Fernando Neves Nando,Fernando,Neves,Nando,,
"Bayntun, Henry William","Bayntun, Henry William",Henry,William,Bayntun,,
Helton Samo Cunha,Helton Samo Cunha,Helton,Samo,Cunha,,
"Dorda, Abuzed Omar","Dorda, Abuzed Omar",Abuzed,Omar,Dorda,,
Amal Nuri Safar,Amal Nuri Safar,Amal,Nuri,Safar,,
"Samatar, Muse Dude","Samatar, Muse Dude",Muse,Dude,Samatar,,
Hemed Mohammed Hemed,Hemed Mohammed Hemed,Hemed,Mohammed,Hemed,,
"Onu, Sylvester Umaru","Onu, Sylvester Umaru",Sylvester,Umaru,Onu,,
Ama Sefa Yeboah,Ama Sefa Yeboah,Ama,Sefa,Yeboah,,
"Deerow, Abdallah Isaaq","Deerow, Abdallah Isaaq",Abdallah,Isaaq,Deerow,,
Khalida Rashid Khan,Khalida Rashid Khan,Khalida,Rashid,Khan,,
"Edozien, Joseph Chike","Edozien, Joseph Chike",Joseph,Chike,Edozien,,
Maua Abeid Daftari,Maua Abeid Daftari,Maua,Abeid,Daftari,,
"Toivo, Andimba Toivo Ya","Toivo, Andimba Toivo Ya",Andimba,Toivo Ya,Toivo,,
Louis Lansana Beavogui,Louis Lansana Beavogui,Louis,Lansana,Beavogui,,
"Khamis, Mwajuma Hassan","Khamis, Mwajuma Hassan",Mwajuma,Hassan,Khamis,,
Alamin Mohammed Seid,Alamin Mohammed Seid,Alamin,Mohammed,Seid,,
"Warner, Bennie Dee","Warner, Bennie Dee",Bennie,Dee,Warner,,
Gosbert Begumisa Blandes,Gosbert Begumisa Blandes,Gosbert,Begumisa,Blandes,,
"Mariam, Mahisente Habte","Mariam, Mahisente Habte",Mahisente,Habte,Mariam,,
