original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
John Ssebaana Kizito,John Sebaana Kizito,John,Sebaana,Kizito,,
Hama Amirou Ly,Hma Amirou Ly,Hma,Amirou,Ly,,
"Nascimento, Lopo Do","Nascimento, Lopo Djo",Lopo,Djo,Nascimento,,
Ras Mengesha Yohannes,Ras Mngesha Yohannes,Ras,Mngesha,Yohannes,,
"Davies, H O","Davies,H O",H,O,Davies,,
Martha Sandolo Belleh,MTartha Sandolo Belleh,MTartha,Sandolo,Belleh,,
"Akandu, Lawrence Chimezie","Akandu, Lawrence Chiezie",Lawrence,Chiezie,Akandu,,
Darge Sahle Selassie,Darge Sahle Sepassie,Darge,Sahle,Sepassie,,
Fred Kwasi Apaloo,Frd Kwasi Apaloo,Frd,Kwasi,Apaloo,,
"Chaurembo, Ania Said","Chaurembo, Ania Sa2d",Ania,Sa2d,Chaurembo,,
Mathias Meinrad Chikawe,rMathias Meinrad Chikawe,rMathias,Meinrad,Chikawe,,
"Yahia, Wissem Ben","Yahia, Wisem Ben",Wisem,Ben,Yahia,,
Aziza Sleyum Ally,Aziza Sl8eyum Ally,Aziza,Sl8eyum,Ally,,
"Barque, Barry Moussa","Barque, Bary Moussa",Bary,Moussa,Barque,,
Erinayo Wilson Oryema,ErinayoWilson Oryema,Erinayo,Wilson,Oryema,,
"Dada, Idi Amin","Dad, Idi Amin",Idi,Amin,Dad,,
Hilary R W Johnson,Hilary Ru W Johnson,Hilary,Ru W,Johnson,,
"Gana, Mohammed Abba","Gana, Mouammed Abba",Mouammed,Abba,Gana,,
Asha Haji Elmi,Asa Haji Elmi,Asa,Haji,Elmi,,
Thomas R Odhiambo,"Thoma,s R Odhiambo","Thoma,s",R,Odhiambo,,
"Nouira, Hedi Amara","Nouira, Hedi ATara",Hedi,ATara,Nouira,,
F Abiola Irele,F Abiopa Irele,F,Abiopa,Irele,,
"Achour, Selim Ben","Achour, SelGim Ben",SelGim,Ben,Achour,,
"Dodge, Ralph Edward","DodgD, Ralph Edward",Ralph,Edward,DodgD,,
John Kodwo Amissah,John Kodwo Aissah,John,Kodwo,Aissah,,
"Ezeh, Alphonsus Azuogu","Ezdh, Alphonsus Azuogu",Alphonsus,Azuogu,Ezdh,,
Abubakar Tafawa Balewa,Abubaka Tafawa Balewa,Abubaka,Tafawa,Balewa,,
Amadou Tidiane Tall,Amadou TidianPe Tall,Amadou,TidianPe,Tall,,
"Seko, Mobutu Sese","Sek, Mobutu Sese",Mobutu,Sese,Sek,,
Fernando Neves Nando,Fernando Nevew Nando,Fernando,Nevew,Nando,,
"Bayntun, Henry William","Bayntun, QHenry William",QHenry,William,Bayntun,,
Helton Samo Cunha,Helton Sao Cunha,Helton,Sao,Cunha,,
"Dorda, Abuzed Omar","Dord, Abuzed Omar",Abuzed,Omar,Dord,,
Amal Nuri Safar,Amal Nuri SaQfar,Amal,Nuri,SaQfar,,
"Samatar, Muse Dude","Samatar, Muse Dudte",Muse,Dudte,Samatar,,
Hemed Mohammed Hemed,Hemmed Mohammed Hemed,Hemmed,Mohammed,Hemed,,
Ama Sefa Yeboah,Aa Sefa Yeboah,Aa,Sefa,Yeboah,,
"Edozien, Joseph Chike","Edozien, Josph Chike",Josph,Chike,Edozien,,
Maua Abeid Daftari,Maua Mbeid Daftari,Maua,Mbeid,Daftari,,
"Toivo, Andimba Toivo Ya","Toivo,Andimba Toivo Ya",Andimba,Toivo Ya,Toivo,,
"Khamis, Mwajuma Hassan","Khamis, Mwaquma Hassan",Mwaquma,Hassan,Khamis,,
Alamin Mohammed Seid,Alamin Mohmmed Seid,Alamin,Mohmmed,Seid,,
"Warner, Bennie Dee","Warner, Bennie DKee",Bennie,DKee,Warner,,
Gosbert Begumisa Blandes,Gosbert Begumisa Blandels,Gosbert,Begumisa,Blandels,,
"Mariam, Mahisente Habte","Mariam, Mahisente Habt",Mahisente,Habt,Mariam,,
Habib Ben Yahia,Habib Bfn Yahia,Habib,Bfn,Yahia,,
"Massaoued, Amir Hadj","Massaoued, Amir HadAj",Amir,HadAj,Massaoued,,
Buka Suka Dimka,Buka SuXa Dimka,Buka,SuXa,Dimka,,
"Tuweni, Kamilya Mohammedi","Tuweni, Kamilya Mohammed",Kamilya,Mohammed,Tuweni,,
"Khatib, Muhammed Seif","Khatib, Muhammed Seijf",Muhammed,Seijf,Khatib,,
George Mutandwa Chiweshe,George Mutandwa Chiwehe,George,Mutandwa,Chiwehe,,
Theophilus Adeleke Akinyele,Theophilus Adelee Akinyele,Theophilus,Adelee,Akinyele,,
"Odametey, Charles Addo","Odametey,  Charles Addo",Charles,Addo,Odametey,,
Valery Twite Nahayo,Valery Twite Nahay,Valery,Twite,Nahay,,
"Hidig, Abdirashid Mohamed","Hidig, Abdirashid Moham5ed",Abdirashid,Moham5ed,Hidig,,
Mohammed Aliyu Datti,Mohammed Aliyu Dtti,Mohammed,Aliyu,Dtti,,
"Diallo, Anthony Mwandu","Diallo, Anghony Mwandu",Anghony,Mwandu,Diallo,,
Mbah Ndam Joseph Njang,Mbah  Ndam Joseph Njang,Mbah,Ndam Joseph,Njang,,
Cecilia Gyan Amoah,Cecilia GyanAmoah,Cecilia,Gyan,Amoah,,
"At-Talhi, Jadallah Azzuz","At-Talhi, Jadallah  Azzuz",Jadallah,Azzuz,At-Talhi,,
Muhammad Shamte Hamadi,Muhammad Shamte amadi,Muhammad,Shamte,amadi,,
Adetona Gabriel Balogun,Adetona Gariel Balogun,Adetona,Gariel,Balogun,,
"Salami, Adigun Taofeek","alami, Adigun Taofeek",Adigun,Taofeek,alami,,
"Khalfan, Salim Abdallah","Khalfa, Salim Abdallah",Salim,Abdallah,Khalfa,,
"Kayombo, Gaudence Cassian","Kyombo, Gaudence Cassian",Gaudence,Cassian,Kyombo,,
Batilda Salha Burian,Bttilda Salha Burian,Bttilda,Salha,Burian,,
"Kitole, Haji Mussa","Kitoe, Haji Mussa",Haji,Mussa,Kitoe,,
Zakia Mrisho Mohamed,ZakiaMrisho Mohamed,Zakia,Mrisho,Mohamed,,
"Ali, Amina Said","Ali, Amina Saird",Amina,Saird,Ali,,
Ntare Rutaganzwa Rugamba,Ntare RZtaganzwa Rugamba,Ntare,RZtaganzwa,Rugamba,,
"Odinga, Jaramogi Oginga","Odinga, Jaramogi Ogi1ga",Jaramogi,Ogi1ga,Odinga,,
Faysal Ben Ahmed,Faysal lBen Ahmed,Faysal,lBen,Ahmed,,
"Obinna, Victor Nsofor","Obinna, Victor Nsofo",Victor,Nsofo,Obinna,,
Mohammed Bah Abba,Mohamyed Bah Abba,Mohamyed,Bah,Abba,,
Barnabas Sibusiso Dlamini,Barnabas Silbusiso Dlamini,Barnabas,Silbusiso,Dlamini,,
"Hashi, Mohamed Abdi","ashi, Mohamed Abdi",Mohamed,Abdi,ashi,,
Botan Ise Alin,Botan Ise Qlin,Botan,Ise,Qlin,,
"Arfi, Said Amour","Arfi, Sad Amour",Sad,Amour,Arfi,,
Abdi Hasan Awale Qeybdiid,Agbdi Hasan Awale Qeybdiid,Agbdi,Hasan Awale,Qeybdiid,,
"Mayaki, Ibrahim Hassane","Mayaki, IbCrahim Hassane",IbCrahim,Hassane,Mayaki,,
Maria Ibeshi Hewa,MaRria Ibeshi Hewa,MaRria,Ibeshi,Hewa,,
"Apagya, Philip Kwame","Apagya, Phili[ Kwame",Phili[,Kwame,Apagya,,
Zainab Amir Gama,Zainab Ami Gama,Zainab,Ami,Gama,,
Abdirizak Haji Hussein,Abdiriza4 Haji Hussein,Abdiriza4,Haji,Hussein,,
"Mabandla, Thandatha Jongilizwe","Mabandla,Thandatha Jongilizwe",Thandatha,Jongilizwe,Mabandla,,
Antoinette Nana Djimou,Antoinette yNana Djimou,Antoinette,yNana,Djimou,,
"Chipande, Alberto Joaquim","Chipande,Alberto Joaquim",Alberto,Joaquim,Chipande,,
Mohammed Said Bareh,Mohammed aid Bareh,Mohammed,aid,Bareh,,
"Khamis, Salim Hemed","Khamis, SalimHemed",Salim,Hemed,Khamis,,
Anton Wilhelm Amo,Anton  Wilhelm Amo,Anton,Wilhelm,Amo,,
"Sabodo, Mustafa Jaffer","Sabodo, Mustafa Jafer",Mustafa,Jafer,Sabodo,,
Loyce Biira Bwambale,"Loyce Bi,ira Bwambale",Loyce,"Bi,ira",Bwambale,,
Coster Balakasi,CostIr Balakasi,CostIr,,Balakasi,,
"Katsonga, Davis","Katsong, Davis",Davis,,Katsong,,
"Addy, Obo","7ddy, Obo",Obo,,7ddy,,
George Borba,George  Borba,George,,Borba,,
"Melki, Mourad","Melki, 5ourad",5ourad,,Melki,,
Tavio Amorin,Tavio Amgorin,Tavio,,Amgorin,,
"Sanga, Imani","SaOnga, Imani",Imani,,SaOnga,,
"Ibrahim, Fouad","Ibrzhim, Fouad",Fouad,,Ibrzhim,,
Gbenga Oluokun,GbengaOluokun,Gbenga,,Oluokun,,
"Salema, Anziza","Salema,  Anziza",Anziza,,Salema,,
Efua Sutherland,Efua Dutherland,Efua,,Dutherland,,
"Otieno, Francis","tieno, Francis",Francis,,tieno,,
Mohammed Muyei,MohammedMuyei,Mohammed,,Muyei,,
"Uti, Sunday","Uti, unday",unday,,Uti,,
"Madagascar, Rasoherina","Madagascar, Rasoerina",Rasoerina,,Madagascar,,
Ganiou Soglo,Ganiou  Soglo,Ganiou,,Soglo,,
"Karg, Morne","Kar, Morne",Morne,,Kar,,
Bisoye Tejuoso,Bisoye Tej8oso,Bisoye,,Tej8oso,,
"Maduka, John","MBaduka, John",John,,MBaduka,,
Olusegun Obasanjo,Olusegun Obasanlo,Olusegun,,Obasanlo,,
"Cheapoo, Chea","Cgheapoo, Chea",Chea,,Cgheapoo,,
Asha-Rose Migiro,Asha-ose Migiro,Asha-ose,,Migiro,,
"Girone, Remo","Girone, Reko",Reko,,Girone,,
Muumin Aadan,sMuumin Aadan,sMuumin,,Aadan,,
Liya Kebede,Liya  Kebede,Liya,,Kebede,,
"Burger, Sarel",Burger  Sarel,Sarel,,Burger,,
Shawn Gericke,Shaen Gericke,Shaen,,Gericke,,
"Yahyaoui, Insaf","Yahyaoui, InsaT",InsaT,,Yahyaoui,,
Koranteng Amoako,Koraneng Amoako,Koraneng,,Amoako,,
"Ouma, Kassim","Oumka, Kassim",Kassim,,Oumka,,
Sara Gizaw,Sara Gizw,Sara,,Gizw,,
"Tesfaw, Adamu","Tesfaw, Adau",Adau,,Tesfaw,,
Richard Leakey,Richard  Leakey,Richard,,Leakey,,
"Gnonka, Liade","Gnonka, iade",iade,,Gnonka,,
Ibrahim Idris,Ibrahim  Idris,Ibrahim,,Idris,,
"Obiku, Michael","ObViku, Michael",Michael,,ObViku,,
Alain Gaspoz,Alai Gaspoz,Alai,,Gaspoz,,
"Morello, Tom","Morell, Tom",Tom,,Morell,,
Tsandzile Ndwandwe,Tsandzile Ndwadwe,Tsandzile,,Ndwadwe,,
"Nsibambi, Apolo","Nxibambi, Apolo",Apolo,,Nxibambi,,
Kuku Sebsebe,Kuku Sebdebe,Kuku,,Sebdebe,,
"Wube, Tiruwork","Wube, Tiruwrk",Tiruwrk,,Wube,,
"Mekuria, Zelalem","Mskuria, Zelalem",Zelalem,,Mskuria,,
Moussa Coulibaly,Moussa Couligaly,Moussa,,Couligaly,,
"Ellison, Chris","Ellison,  Chris",Chris,,Ellison,,
Za Dengel,Za Dngel,Za,,Dngel,,
