original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
Tsutsui Jomyo Meishu,Tsutsui Jomyo Meishu,Jomyo,Meishu,Tsutsui,,
"Patel, H M","Patel, H M",H,,Patel,,M
Hu Jinguang,Hu Jinguang,Jinguang,,Hu,,
Song Zheyuan,Song Zheyuan,Zheyuan,,Song,,
Chen Jieru,Chen Jieru,Jieru,,Chen,,
Gao Qipei,Gao Qipei,Qipei,,Gao,,
Yang Guozhong,Yang Guozhong,Guozhong,,Yang,,
Pohl Trial,Pohl Trial,Trial,,Pohl,,
"Du Rowa, Gateau","Du Rowa, Gateau","Rowa,",Gateau,Du,,
Hughes Eng,Hughes Eng,Eng,,Hughes,,
Mir Qasim,Mir Qasim,Qasim,,Mir,,
Kulothunga Chola I,Kulothunga Chola I,Chola,I,Kulothunga,,
Raja Raja Chola I,Raja Raja Chola I,Raja,Chola I,Raja,,
