original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
E A Smythies,"E,A Smythies",A,Smythies,E,,
J P Dutta,JP Dutta,JP,,Dutta,,
"Swee, Goh Keng",Swee  Goh Keng,Swee,Goh,Keng,,
Haing S Ngor,Haing SNgor,Haing,,SNgor,,
"Deora, Milind Murli",Deora Milind Murli,Deora,Milind,Murli,,
"Yoshitsuna, Minamoto No","Yoshitsuna, MiPnamoto No",Mi,Pnamoto No,Yoshitsuna,,
"Jadeja, Ravindra Singh","Jadeja, RUavindra Singh",R,Uavindra Singh,Jadeja,,
Kulwant Singh Pannu,Kulwrant Singh Pannu,Singh,Pannu,Kulwrant,,
Mohamed Ali Khan Walajan,Mohamed AliKhan Walajan,Mohamed,AliKhan,Walajan,,
"Kania, H J","Kania,,H J",H,J,"Kania,",,
Kim Kwan Cheol,Kim Kwan CBeol,Kim,Kwan C,Beol,,
Tsutsui Jomyo Meishu,Tsutsui  Jomyo Meishu,Jomyo,Meishu,Tsutsui,,
"Naiker, D K","Naiker,,D K",",D",K,Naiker,,
"Patel, H M","Patel,  H M",H,,Patel,,M
"Yin, Chung Ho",Yin Chung Ho,Yin,Chung,Ho,,
Bhai Taru Singh,"Bhai,Taru Singh",Taru,Singh,Bhai,,
"Rao, Akkineni Nageswara","Rao,, Akkineni Nageswara",Akkineni,Nageswara,"Rao,",,
R V Raveendran,R V Raveendr9an,R,V,Raveendr9a,,
"Ki, Chan Siu","Ki, Chan Si",Chan,,Ki,,Si
Girdhari Lal Bhargava,"Girdhari Lal,Bhargava","Lal,",Bhargava,Girdhari,,
"Eng, Yeap Cheng","Eng,, Yeap Cheng",Yeap,Cheng,"Eng,",,
Pan Yin Tze,Pan in Tze,Pan in,,Tze,,
Hu Jinguang,H Jinguang,Jinguang,,H,,
Gengshi Han,Gen2shi Han,Han,,Gen2shi,,
"Amritraj, Vijay",Amritraj Vijay,Amritraj,,Vijay,,
"Umino, Chica",Umino Chica,Umino,,Chica,,
"Rana, Jadi",Rana. Jadi,Rana.,,Jadi,,
Motohisa Furukawa,Motohisa FurMukawa,Motohisa,Fur,Mukawa,,
"Vora, Motilal","Vora,,Motilal",Motilal,,"Vora,",,
"Morishima, Takeshi",Morishima Takeshi,Morishima,,Takeshi,,
"Srivastav, Raju","Srivastav,, Raju",Raju,,"Srivastav,",,
"Mupnar, Perumal",Mupnar  Perumal,Mupnar,,Perumal,,
"Zhuo, Dong","Zhuo,,Dong",Dong,,"Zhuo,",,
Janardhana Poojary,Janfardhana Poojary,Janfardhan,a,Poojary,,
Gao Qipei,Gao.Qipei,Gao.,,Qipei,,
"Takamachi, Nanoha","Takamachi,, Nanoha",Nanoha,,"Takamachi,",,
"Kobayashi, Tomoki","Kobayashi,.Tomoki",.Tomoki,,Kobayashi,,
"Sadamasa, Okudaira","Sadamasa, OkudaQra",Okuda,,Sadamasa,,Qra
"Guan, Tong","Guan,, Tong",Tong,,"Guan,",,
"Shoujing, Guo","Shoujing,, Guo",Guo,,"Shoujing,",,
Dodda Ganesh,Ddda Ganesh,Ganesh,,Ddda,,
Yutaka Higuchi,PYutaka Higuchi,P,Yutaka,Higuchi,,
Pohl Trial,Pohl  rial,rial,,Pohl,,
"Junjiro, Takakusu",Junjiro. Takakusu,Junjiro.,,Takakusu,,
"Xizhi, Wang",Xizhi Wang,Xizhi,,Wang,,
"Kakichi, Uchida","Kakichi,, Uchida",Uchida,,"Kakichi,",,
"Du Rowa, Gateau","Du Rowa, Gwteau","Rowa,",Gwteau,Du,,
"Panchbhai, Bhau",Panchbhai. Bhau,Panchbhai.,,Bhau,,
Hughes Eng,"Hughes,Eng",Eng,,Hughes,,
Ashikaga Tadayoshi,"Ashikaga,Tadayoshi",Tadayoshi,,Ashikaga,,
Telugu Talli,Teluu Talli,Talli,,Teluu,,
Madhu Koda,Madhu KoPda,Madhu,Ko,Pda,,
"Zan, Ni",Zan Ni,Zan,,Ni,,
Mangesh Panchal,MangeUh Panchal,Mange,Uh,Panchal,,
Lin Ying,Lin ing,Lin,, ing,,
"Zhaoying, Ye","Zhaoying,.Ye",.Ye,,Zhaoying,,
Rajendra Chola III,"Rajendra,Chola III",Chola,,Rajendra,,III
Veera Ballala I,Veera Ballaa I,Veera,Ballaa,I,,
Rajendra Chola II,Rajendra Chola aII,Chola,,Rajendra,,aII
Parantaka Chola II,Parantaka Chola VI,Parantaka,Chola,VI,,
Raja Raja Chola I,Raja Raja CShola I,Raja,CShola I,Raja,,
