original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
George Rostrevor Hamilton,George RostrevorHamilton,George,Rostrevor,Hamilton,,
"Lethbridge, Thomas Charles","Lethbridge, ThomasCharles",Thomas,Charles,Lethbridge,,
Edward William Vernon Harcourt,Edward Williamq Vernon Harcourt,Edward,William Vernon,Harcourt,,
"Ashton, Thomas Gair","Ashton,, Thomas Gair",Thomas,Gair,Ashton,,
Harry Marshall Ward,HarryMarshall Ward,Harry,Marshall,Ward,,
"Ewing, Juliana Horatia","Ewing, Juliana HoratiWa",Juliana,Horatia,Ewing,,
"Montagu, Edwin Samuel",Montagu Edwin Samuel,Edwin,Samuel,Montagu,,
"Waterhouse, John William","Waterhouse,.John William",John,William,Waterhouse,,
Louis L Redding,LouisL Redding,Louis,L,Redding,,
"Walter, Alan Fitz","Walter,.Alan Fitz",Alan,Fitz,Walter,,
James B Francis,James  B Francis,James,B,Francis,,
"Hudson, Robert William","Hudson,Robert William",Robert,William,Hudson,,
"Handley, Wal L","HandBey, Wal L",Wal,L,Handley,,
"Tennant, Edward Wyndham","Tenn4ant, Edward Wyndham",Edward,Wyndham,Tennant,,
"Bronson, James H","Bronson,James H",James,H,Bronson,,
Little Jack Little,Little.Jack Little,Little,Jack,Little,,
"Ieuaf, Hywel Ap","Ieuaf, HywelAp",Hywel,Ap,Ieuaf,,
"Tuke, James Hack","Tuke, JamesHack",James,Hack,Tuke,,
"Nation, Carrie A","gNation, Carrie A",Carrie,A,Nation,,
Roy Ward Baker,RoY Ward Baker,Roy,Ward,Baker,,
James Henry Monk,JamesHenry Monk,James,Henry,Monk,,
J Bruce Ismay,J BruceIsmay,J,Bruce,Ismay,,
George H Bryan,George H  Bryan,George,H,Bryan,,
"Esmond, Henry V","EsmoFnd, Henry V",Henry,V,Esmond,,
Thomas Walter Jennings,Thomas  Walter Jennings,Thomas,Walter,Jennings,,
C H Douglas,C  H Douglas,C,H,Douglas,,
William Gifford Palgrave,WilliamGifford Palgrave,William,Gifford,Palgrave,,
"Oglesby, Richard James","Oglesby, Richard  James",Richard,James,Oglesby,,
"Stoner, Edmund Clifton","Stoner, EdmundClifton",Edmund,Clifton,Stoner,,
Elizabeth Jennings Graham,ElizabethJennings Graham,Elizabeth,Jennings,Graham,,
"Pillay, Gerald J","Pillay,, Gerald J",Gerald,J,Pillay,,
John Silkin,JohnSilkin,John,,Silkin,,
Eldridge Cleaver,Eldridgr Cleaver,Eldridge,,Cleaver,,
Duncan Mclaren,DuncanMclaren,Duncan,,Mclaren,,
"Newbon, Gary","NewbLon, Gary",Gary,,Newbon,,
Alfred Waud,AlfredWaud,Alfred,,Waud,,
"David, Dharshini","David,, Dharshini",Dharshini,,David,,
George Ault,GeorgeAult,George,,Ault,,
"Davies, Bryn","DavieZs, Bryn",Bryn,,Davies,,
"Sinden, Jeremy","Sinden,Jeremy",Jeremy,,Sinden,,
Frederick Cavendish,Frederick  Cavendish,Frederick,,Cavendish,,
"Carey, Archibald","Care7, Archibald",Archibald,,Carey,,
"Beaumont, Dave","Beaumont,  Dave",Dave,,Beaumont,,
Ernest Creighton,Ernest  Creighton,Ernest,,Creighton,,
"Bamford, Maria",Bamford Maria,Maria,,Bamford,,
"Dingle, Butch","Dingle,Butch",Butch,,Dingle,,
David Bailey,David.Bailey,David,,Bailey,,
"Townshend, Cliff",Townshend Cliff,Cliff,,Townshend,,
John Amias,JohnAmias,John,,Amias,,
William Lloyd,William  Lloyd,William,,Lloyd,,
"Drennan, Martin","Drennan, Ma,tin",Martin,,Drennan,,
Henry Strauss,Henry  Strauss,Henry,,Strauss,,
"Hollins, Ellis","Hollins,,Ellis",Ellis,,Hollins,,
"Murray, Matthew","Murray, Matthdw",Matthew,,Murray,,
Otis Hartley,OtisHartley,Otis,,Hartley,,
"Hulbert, Jack","Hulbert, Jac1k",Jack,,Hulbert,,
"Reid, Alex","Reid,.Alex",Alex,,Reid,,
Rob Davies,Rob  Davies,Rob,,Davies,,
