original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
Hama Amirou Ly,Hama Amirou Ly,Hama,Amirou,Ly,,
"Nascimento, Lopo Do","Nascimento, Lopo Do",Lopo,Do,Nascimento,,
Ras Mengesha Yohannes,Ras Mengesha Yohannes,Ras,Mengesha,Yohannes,,
"Akandu, Lawrence Chimezie","Akandu, Lawrence Chimezie",Lawrence,Chimezie,Akandu,,
Darge Sahle Selassie,Darge Sahle Selassie,Darge,Sahle,Selassie,,
"Erhenede, Justice John","Erhenede, Justice John",Justice,John,Erhenede,,
Fred Kwasi Apaloo,Fred Kwasi Apaloo,Fred,Kwasi,Apaloo,,
"Yahia, Wissem Ben","Yahia, Wissem Ben",Wissem,Ben,Yahia,,
Aziza Sleyum Ally,Aziza Sleyum Ally,Aziza,Sleyum,Ally,,
"Barque, Barry Moussa","Barque, Barry Moussa",Barry,Moussa,Barque,,
Erinayo Wilson Oryema,Erinayo Wilson Oryema,Erinayo,Wilson,Oryema,,
"Dada, Idi Amin","Dada, Idi Amin",Idi,Amin,Dada,,
Hilary R W Johnson,Hilary R W Johnson,Hilary,R W,Johnson,,
"Gana, Mohammed Abba","Gana, Mohammed Abba",Mohammed,Abba,Gana,,
Asha Haji Elmi,Asha Haji Elmi,Asha,Haji,Elmi,,
Thomas R Odhiambo,Thomas R Odhiambo,Thomas,R,Odhiambo,,
F Abiola Irele,F Abiola Irele,F,Abiola,Irele,,
"Achour, Selim Ben","Achour, Selim Ben",Selim,Ben,Achour,,
J E A Wey,J E A Wey,J,E A,Wey,,
"Dodge, Ralph Edward","Dodge, Ralph Edward",Ralph,Edward,Dodge,,
John Kodwo Amissah,John Kodwo Amissah,John,Kodwo,Amissah,,
Abubakar Tafawa Balewa,Abubakar Tafawa Balewa,Abubakar,Tafawa,Balewa,,
Amadou Tidiane Tall,Amadou Tidiane Tall,Amadou,Tidiane,Tall,,
"Seko, Mobutu Sese","Seko, Mobutu Sese",Mobutu,Sese,Seko,,
Fernando Neves Nando,Fernando Neves Nando,Fernando,Neves,Nando,,
"Bayntun, Henry William","Bayntun, Henry William",Henry,William,Bayntun,,
Helton Samo Cunha,Helton Samo Cunha,Helton,Samo,Cunha,,
Amal Nuri Safar,Amal Nuri Safar,Amal,Nuri,Safar,,
"Samatar, Muse Dude","Samatar, Muse Dude",Muse,Dude,Samatar,,
"Onu, Sylvester Umaru","Onu, Sylvester Umaru",Sylvester,Umaru,Onu,,
Khalida Rashid Khan,Khalida Rashid Khan,Khalida,Rashid,Khan,,
"Edozien, Joseph Chike","Edozien, Joseph Chike",Joseph,Chike,Edozien,,
Maua Abeid Daftari,Maua Abeid Daftari,Maua,Abeid,Daftari,,
"Toivo, Andimba Toivo Ya","Toivo, Andimba Toivo Ya",Andimba,Toivo Ya,Toivo,,
Louis Lansana Beavogui,Louis Lansana Beavogui,Louis,Lansana,Beavogui,,
"Khamis, Mwajuma Hassan","Khamis, Mwajuma Hassan",Mwajuma,Hassan,Khamis,,
Alamin Mohammed Seid,Alamin Mohammed Seid,Alamin,Mohammed,Seid,,
"Warner, Bennie Dee","Warner, Bennie Dee",Bennie,Dee,Warner,,
"Mariam, Mahisente Habte","Mariam, Mahisente Habte",Mahisente,Habte,Mariam,,
Habib Ben Yahia,Habib Ben Yahia,Habib,Ben,Yahia,,
"Massaoued, Amir Hadj","Massaoued, Amir Hadj",Amir,Hadj,Massaoued,,
Buka Suka Dimka,Buka Suka Dimka,Buka,Suka,Dimka,,
"Tuweni, Kamilya Mohammedi","Tuweni, Kamilya Mohammedi",Kamilya,Mohammedi,Tuweni,,
"Khatib, Muhammed Seif","Khatib, Muhammed Seif",Muhammed,Seif,Khatib,,
"Odametey, Charles Addo","Odametey, Charles Addo",Charles,Addo,Odametey,,
Valery Twite Nahayo,Valery Twite Nahayo,Valery,Twite,Nahayo,,
Mohammed Aliyu Datti,Mohammed Aliyu Datti,Mohammed,Aliyu,Datti,,
"Daar, Aden Abdullah Osman","Daar, Aden Abdullah Osman",Aden,Abdullah Osman,Daar,,
Cecilia Gyan Amoah,Cecilia Gyan Amoah,Cecilia,Gyan,Amoah,,
Muhammad Shamte Hamadi,Muhammad Shamte Hamadi,Muhammad,Shamte,Hamadi,,
"Chuka, Stefano Okaka","Chuka, Stefano Okaka",Stefano,Okaka,Chuka,,
Adetona Gabriel Balogun,Adetona Gabriel Balogun,Adetona,Gabriel,Balogun,,
"Salami, Adigun Taofeek","Salami, Adigun Taofeek",Adigun,Taofeek,Salami,,
Anthony Snoti Laffor,Anthony Snoti Laffor,Anthony,Snoti,Laffor,,
"Khalfan, Salim Abdallah","Khalfan, Salim Abdallah",Salim,Abdallah,Khalfan,,
"Kayombo, Gaudence Cassian","Kayombo, Gaudence Cassian",Gaudence,Cassian,Kayombo,,
Batilda Salha Burian,Batilda Salha Burian,Batilda,Salha,Burian,,
Zakia Mrisho Mohamed,Zakia Mrisho Mohamed,Zakia,Mrisho,Mohamed,,
"Ali, Amina Said","Ali, Amina Said",Amina,Said,Ali,,
Faysal Ben Ahmed,Faysal Ben Ahmed,Faysal,Ben,Ahmed,,
"Obinna, Victor Nsofor","Obinna, Victor Nsofor",Victor,Nsofor,Obinna,,
Mohammed Bah Abba,Mohammed Bah Abba,Mohammed,Bah,Abba,,
"Goje, Mohammed Danjuma","Goje, Mohammed Danjuma",Mohammed,Danjuma,Goje,,
Barnabas Sibusiso Dlamini,Barnabas Sibusiso Dlamini,Barnabas,Sibusiso,Dlamini,,
"Hashi, Mohamed Abdi","Hashi, Mohamed Abdi",Mohamed,Abdi,Hashi,,
"Arfi, Said Amour","Arfi, Said Amour",Said,Amour,Arfi,,
Abdi Hasan Awale Qeybdiid,Abdi Hasan Awale Qeybdiid,Abdi,Hasan Awale,Qeybdiid,,
"Mayaki, Ibrahim Hassane","Mayaki, Ibrahim Hassane",Ibrahim,Hassane,Mayaki,,
Maria Ibeshi Hewa,Maria Ibeshi Hewa,Maria,Ibeshi,Hewa,,
Zainab Amir Gama,Zainab Amir Gama,Zainab,Amir,Gama,,
"Animashaun, Mustapha Adamu","Animashaun, Mustapha Adamu",Mustapha,Adamu,Animashaun,,
Abdirizak Haji Hussein,Abdirizak Haji Hussein,Abdirizak,Haji,Hussein,,
Antoinette Nana Djimou,Antoinette Nana Djimou,Antoinette,Nana,Djimou,,
"Chipande, Alberto Joaquim","Chipande, Alberto Joaquim",Alberto,Joaquim,Chipande,,
Mohammed Said Bareh,Mohammed Said Bareh,Mohammed,Said,Bareh,,
"Khamis, Salim Hemed","Khamis, Salim Hemed",Salim,Hemed,Khamis,,
Anton Wilhelm Amo,Anton Wilhelm Amo,Anton,Wilhelm,Amo,,
"Sabodo, Mustafa Jaffer","Sabodo, Mustafa Jaffer",Mustafa,Jaffer,Sabodo,,
"Alo, E B","Alo, E B",E,B,Alo,,
"Katsonga, Davis","Katsonga, Davis",Davis,,Katsonga,,
Ben Dhifallah,Ben Dhifallah,Ben,,Dhifallah,,
George Borba,George Borba,George,,Borba,,
Joaquim Gomes,Joaquim Gomes,Joaquim,,Gomes,,
Shanyurai Majange,Shanyurai Majange,Shanyurai,,Majange,,
"Bencherif, Hamza","Bencherif, Hamza",Hamza,,Bencherif,,
"Ibrahim, Fouad","Ibrahim, Fouad",Fouad,,Ibrahim,,
Gbenga Oluokun,Gbenga Oluokun,Gbenga,,Oluokun,,
"Salema, Anziza","Salema, Anziza",Anziza,,Salema,,
Efua Sutherland,Efua Sutherland,Efua,,Sutherland,,
"Otieno, Francis","Otieno, Francis",Francis,,Otieno,,
Mohammed Muyei,Mohammed Muyei,Mohammed,,Muyei,,
"Uti, Sunday","Uti, Sunday",Sunday,,Uti,,
Samuel Maharero,Samuel Maharero,Samuel,,Maharero,,
Benjamin Kibebe,Benjamin Kibebe,Benjamin,,Kibebe,,
"Karg, Morne","Karg, Morne",Morne,,Karg,,
