original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
John Ssebaana Kizito,John Ssebaana Kizito,John,Stebaana,Kizito,,
"Jones, V M","Jones, V M",V,,Jones,,MD
"Davies, H O","Davies, H O",H,O,Davis,,
Martha Sandolo Belleh,Martha Sandolo Belleh,Martha,Sandol,Belleh,,
"Chaurembo, Ania Said","Chaurembo, Ania Said",Ania,Said,Chuurembo,,
Mathias Meinrad Chikawe,Mathias Meinrad Chikawe,Mathias,Meinard,Chikawe,,
"Dlamini, Jameson Mbilini","Dlamini, Jameson Mbilini",Jameson,Moilini,Dlamini,,
"Nouira, Hedi Amara","Nouira, Hedi Amara",Nouira,Hedi,Amara,,
"Ezeh, Alphonsus Azuogu","Ezeh, Alphonsus Azuogu",Alphonnus,Azuuiu,Ezeh,,
"Mbongo, Mbedi A","Mbongo, Mbedi A",Medi,A,Mbongo,,
"Dorda, Abuzed Omar","Dorda, Abuzed Omar",Abuzed,Omar,Dordan,,
Hemed Mohammed Hemed,Hemed Mohammed Hemed,Heme,Mohammed,Hemed,,
Ama Sefa Yeboah,Ama Sefa Yeboah,Ama,Sef,Yeboah,,
"Deerow, Abdallah Isaaq","Deerow, Abdallah Isaaq",Abdallah,Isaa,Deerow,,
Gosbert Begumisa Blandes,Gosbert Begumisa Blandes,Gobbert,Begumisa,Blandes,,
Charles N Keenja,Charles N Keenja,Charles,N,Kenja,,
George Mutandwa Chiweshe,George Mutandwa Chiweshe,George,Mutanda,Chiweshe,,
"Ameir, Kheri Khatib","Ameir, Kheri Khatib",Kheri,Khatib,Ammeir,,
Theophilus Adeleke Akinyele,Theophilus Adeleke Akinyele,Theophilus,Adelee,Akinyele,,
"Hidig, Abdirashid Mohamed","Hidig, Abdirashid Mohamed",Abdirashik,Mohamed,Hidig,,
"Diallo, Anthony Mwandu","Diallo, Anthony Mwandu",Anthony,Maaa,Diallo,,
Mbah Ndam Joseph Njang,Mbah Ndam Joseph Njang,Meah,Ndam Josepha,Njang,,
"At-Talhi, Jadallah Azzuz","At-Talhi, Jadallah Azzuz",Jadallah,Azzua,Attalhi,,
Larbi Ben M'Hidi,Larbi Ben M'Hidi,Larbi,Ben,Muidi,,
"Kitole, Haji Mussa","Kitole, Haji Mussa",Haji,Mussa,Kitle,,
Ntare Rutaganzwa Rugamba,Ntare Rutaganzwa Rugamba,Nhare,Rutaaanzaa,Rugamba,,
"Odinga, Jaramogi Oginga","Odinga, Jaramogi Oginga",Jaramogi,Oginna,Odinga,,
Botan Ise Alin,Botan Ise Alin,Botan,Isse,Alin,,
"Apagya, Philip Kwame","Apagya, Philip Kwame",Philip,wame,Apagya,,
"Mabandla, Thandatha Jongilizwe","Mabandla, Thandatha Jongilizwe",Thandatha,Jongilizze,Mabandla,,
Loyce Biira Bwambale,Loyce Biira Bwambale,Loyce,Biira,Bambale,,
Coster Balakasi,Coster Balakasi,Balakasi,,Coster,,
"Addy, Obo","Addy, Obo",Obso,,Addy,,
"Melki, Mourad","Melki, Mourad",Mourad,,Meli,,
"Kamaphitha, Uzibhebhu","Kamaphitha, Uzibhebhu",Uzizhebbu,,Kamaphitha,,
Tavio Amorin,Tavio Amorin,Tavi,,Amorin,,
"Sanga, Imani","Sanga, Imani",Imani,,Sangac,,
Herbert Chitepo,Herbert Chitepo,Herbert,,Chiepo,,
"Madagascar, Rasoherina","Madagascar, Rasoherina",Rasoterina,,Madagascar,,
"Mbangwa, Mpumelelo","Mbangwa, Mpumelelo",Mpomelelo,,Mcangwa,,
Ganiou Soglo,Ganiou Soglo,Soglo,,Ganiou,,
Olusegun Obasanjo,Olusegun Obasanjo,Obasanjo,,Olusegun,,
Asha-Rose Migiro,Asha-Rose Migiro,Asha,Rose,Migiro,,
"Yahyaoui, Insaf","Yahyaoui, Insaf",Insa,,Yahyaoui,,
Sara Gizaw,Sara Gizaw,Sara,,Giza,,
"Gnonka, Liade","Gnonka, Liade",Lidade,,Gnonka,,
Alain Gaspoz,Alain Gaspoz,Alain,,Gasoz,,
Tsandzile Ndwandwe,Tsandzile Ndwandwe,Tsandzile,,Nalwandan,,
Stanford Derere,Stanford Derere,Derere,,Stanford,,
Tatenda Taibu,Tatenda Taibu,Tatenda,Tai,Bu,,
"Mwakwere, Ali","Mwakwere, Ali",Ali,,Makhere,,
Yimam Yejju,Yimam Yejju,Yimam,,Yeju,,
Tom Nyariki,Tom Nyariki,Tom,,Nariki,,
Jadavji Jesani,Jadavji Jesani,Jadavi,,Jesani,,
"Benikhlef, Amar","Benikhlef, Amar",Amar,,Benikhle,,
"Dibaba, Ejegayehu","Dibaba, Ejegayehu",Egegayehu,,Dibaba,,
Maurice Tadajeu,Maurice Tadajeu,Maurice,,Tadajeru,,
"Lwanga, Carl","Lwanga, Carl",Carl,,Langa,,
"Aga, Alemu","Aga, Alemu",Alem,,Aga,,
Choice Aisien,Choice Aisien,Aissien,,Choice,,
Fro Adu,Fro Adu,Fro,,Adun,,
Gloria Kemasuode,Gloria Kemasuode,Gloria,,Kemasode,,
"Diori, Hamani","Diori, Hamani",Hamani,,Dori,,
Tekle Haymanot,Tekle Haymanot,Tele,,Haymanot,,
"Makinwa, Stephen","Makinwa, Stephen",Stephen,,Makina,,
"Abdirahman, Abdihakem","Abdirahman, Abdihakem",Abdihakeem,,Abdirahman,,
"Mbom, Ephrem","Mbom, Ephrem",Ephrem,,Jbom,,
Ali Shah,Ali Shah,Al,,Shah,,
"Belaid, Tijani","Belaid, Tijani",Tijani,,Belraid,,
"Djoussouf, Abbas","Djoussouf, Abbas",Abbas,,Dhoussouf,,
Tsehaiwork Darge,Tsehaiwork Darge,Tsehahiori,,Dargee,,
"Ugbusien, Moses","Ugbusien, Moses",Moses,,Ubusien,,
"Ha-Dani, Eldad","Ha-Dani, Eldad",Eldad,,Hawani,,
"Wek, Alek","Wek, Alek",Ale,,Wek,,
Okoth Origi,Okoth Origi,Okothi,,Origi,,
"Bizu, Sifrash","Bizu, Sifrash",Sirash,,Bizu,,
Tito Chingunji,Tito Chingunji,Tito,,Chinguni,,
"Kitamirike, Joel","Kitamirike, Joel",Joel,,Kitamerike,,
Alaixys Romao,Alaixys Romao,Alamis,,Romao,,
Osei Kofi Tutu I,Osei Kofi Tutu I,Osei,Kofi Tutu,I,,
Mikel John OBI,Mikel John OBI,Mikel,John,Ox,,
William Drew Robeson I,William Drew Robeson I,William,Drew,Robeson,,IV
Habib Bourguiba Jr.,Habib Bourguiba Jr.,Habib,,Bourgiba,,Jr
