original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
"Jones, V M","Jones, V M",V,,Jones,,M
"Nouira, Hedi Amara","Nouira, Hedi Amara","Nouira,",Hedi,Amara,,
"Apagya, Philip Kwame","Apagya, Philip Kwame",Philip,wame,Apagya,,
Coster Balakasi,Coster Balakasi,Balakasi,,Coster,,
Ganiou Soglo,Ganiou Soglo,Soglo,,Ganiou,,
Olusegun Obasanjo,Olusegun Obasanjo,Obasanjo,,Olusegun,,
Asha-Rose Migiro,Asha-Rose Migiro,Asha-,Rose,Migiro,,
Stanford Derere,Stanford Derere,Derere,,Stanford,,
Tatenda Taibu,Tatenda Taibu,Tatenda,Tai,bu,,
Choice Aisien,Choice Aisien,Aisien,,Choice,,
Osei Kofi Tutu I,Osei Kofi Tutu I,Osei,Kofi Tutu,I,,
Mikel John OBI,Mikel John OBI,Mikel,John,OBI,,
