original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
Martha Sandolo Belleh,MTartha Sandolo Belleh,Martha,Sandolo,Belleh,,
Erinayo Wilson Oryema,ErinayoWilson Oryema,Erinayo,Wilson,Oryema,,
Thomas R Odhiambo,"Thoma,s R Odhiambo",Thomas,R,Odhiambo,,
"Achour, Selim Ben","Achour, SelGim Ben",Selim,Ben,Achour,,
"Dodge, Ralph Edward","DodgD, Ralph Edward",Ralph,Edward,Dodge,,
"Bayntun, Henry William","Bayntun, QHenry William",Henry,William,Bayntun,,
Amal Nuri Safar,Amal Nuri SaQfar,Amal,Nuri,Safar,,
Khalida Rashid Khan,Khalida Rashid.Khan,Khalida,Rashid,Khan,,
"Warner, Bennie Dee","Warner, Bennie DKee",Bennie,Dee,Warner,,
Habib Ben Yahia,Habib Bfn Yahia,Habib,Ben,Yahia,,
"Massaoued, Amir Hadj","Massaoued, Amir HadAj",Amir,Hadj,Massaoued,,
"Khatib, Muhammed Seif","Khatib, Muhammed Seijf",Muhammed,Seif,Khatib,,
"Odametey, Charles Addo","Odametey,  Charles Addo",Charles,Addo,Odametey,,
Cecilia Gyan Amoah,Cecilia GyanAmoah,Cecilia,Gyan,Amoah,,
Zakia Mrisho Mohamed,ZakiaMrisho Mohamed,Zakia,Mrisho,Mohamed,,
"Ali, Amina Said","Ali, Amina Saird",Amina,Said,Ali,,
Faysal Ben Ahmed,Faysal lBen Ahmed,Faysal,Ben,Ahmed,,
Mohammed Bah Abba,Mohamyed Bah Abba,Mohammed,Bah,Abba,,
Maria Ibeshi Hewa,MaRria Ibeshi Hewa,Maria,Ibeshi,Hewa,,
"Mabandla, Thandatha Jongilizwe","Mabandla,Thandatha Jongilizwe",Thandatha,Jongilizwe,Mabandla,,
"Chipande, Alberto Joaquim","Chipande,Alberto Joaquim",Alberto,Joaquim,Chipande,,
"Khamis, Salim Hemed","Khamis, SalimHemed",Salim,Hemed,Khamis,,
"Katsonga, Davis","Katsong, Davis",Davis,,Katsonga,,
Ben Dhifallah,Ben.Dhifallah,Ben,,Dhifallah,,
"Addy, Obo","7ddy, Obo",Obo,,Addy,,
George Borba,George  Borba,George,,Borba,,
"Sanga, Imani","SaOnga, Imani",Imani,,Sanga,,
"Bencherif, Hamza","Bencherif,, Hamza",Hamza,,Bencherif,,
"Ibrahim, Fouad","Ibrzhim, Fouad",Fouad,,Ibrahim,,
Gbenga Oluokun,GbengaOluokun,Gbenga,,Oluokun,,
"Salema, Anziza","Salema,  Anziza",Anziza,,Salema,,
Mohammed Muyei,MohammedMuyei,Mohammed,,Muyei,,
Benjamin Kibebe,Benjamin KiVbebe,Benjamin,,Kibebe,,
"Maduka, John","MBaduka, John",John,,Maduka,,
"Burger, Sarel",Burger  Sarel,Sarel,,Burger,,
"Ouma, Kassim","Oumka, Kassim",Kassim,,Ouma,,
Richard Leakey,Richard  Leakey,Richard,,Leakey,,
Ibrahim Idris,Ibrahim  Idris,Ibrahim,,Idris,,
"Obiku, Michael","ObViku, Michael",Michael,,Obiku,,
"Ellison, Chris","Ellison,  Chris",Chris,,Ellison,,
Zain Verjee,Zsain Verjee,Zain,,Verjee,,
"Modo, Ben","Modo,,Ben",Ben,,Modo,,
"Otieno, Musa","OtieVo, Musa",Musa,,Otieno,,
Marco Airosa,Marco  Airosa,Marco,,Airosa,,
"Whitehead, Edgar","Whitehead,  Edgar",Edgar,,Whitehead,,
"Codjia, Coffi","CodRjia, Coffi",Coffi,,Codjia,,
Samson Godwin,SamsYon Godwin,Samson,,Godwin,,
"Benikhlef, Amar","Benikhlef,Amar",Amar,,Benikhlef,,
"Moumban, Karim","Moumban,, Karim",Karim,,Moumban,,
Habib Galhia,Habib  Galhia,Habib,,Galhia,,
Richard Mateelong,Richard  Mateelong,Richard,,Mateelong,,
"Baidoo, Stephen","Baidoo, StephQen",Stephen,,Baidoo,,
Gloria Kemasuode,Gl7ria Kemasuode,Gloria,,Kemasuode,,
"Asokuh, Eloka","Asokuh,Eloka",Eloka,,Asokuh,,
Adewale Olukoju,Adewale  Olukoju,Adewale,,Olukoju,,
Ali Shah,Ali SQhah,Ali,,Shah,,
"Belaid, Tijani",Belaid Tijani,Tijani,,Belaid,,
"Selassie, Wolde","Selassie,.Wolde",Wolde,,Selassie,,
"Metref, Hocine","Metref,Hocine",Hocine,,Metref,,
Aberra Molla,Aberra  Molla,Aberra,,Molla,,
Moses Ashikodi,Moses  Ashikodi,Moses,,Ashikodi,,
"Martins, Obafemi","MartiDns, Obafemi",Obafemi,,Martins,,
"Uti, Sunday","Uti,Sunday",Sunday,,Uti,,
"Afro, Teddy","Afro,.Teddy",Teddy,,Afro,,
"Wek, Alek","Wek, FAlek",Alek,,Wek,,
"Metefara, Marcel","Metefara, Mfarcel",Marcel,,Metefara,,
Gerrie Snyman,GIrrie Snyman,Gerrie,,Snyman,,
Achilla Orru,Achilla  Orru,Achilla,,Orru,,
"Owu, George","Owu,, George",George,,Owu,,
Alaixys Romao,Alaixys.Romao,Alaixys,,Romao,,
Nana Osei Bonsu II,Nana Osei Bonsu MII,Nana,Osei,Bonsu,,II
Mass Sarr Jr,NMass Sarr Jr,Mass,,Sarr,,Jr
Habib Bourguiba Jr.,HabHib Bourguiba Jr.,Habib,,Bourguiba,,Jr
