original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
John Ssebaana Kizito,John Sebaana Kizito,John,Sebaana,Kizito,,
"Jones, V M","Jones,V M",V,,Jones,,MD
Hama Amirou Ly,Hma Amirou Ly,Hima,Amirou,Ly,,
"Nascimento, Lopo Do","Nascimento, Lopo Djo",Lopo,Djo,Nascimento,,
Ras Mengesha Yohannes,Ras Mngesha Yohannes,Ras,Magesha,Yohannes,,
"Davies, H O","Davies,H O",H,O,Davis,,
"Akandu, Lawrence Chimezie","Akandu, Lawrence Chiezie",Lawrence,Chiazie,Akandu,,
Darge Sahle Selassie,Darge Sahle Sepassie,Darge,Sahle,Sepassier,,
"Erhenede, Justice John","Erhenede, JuStice John",Justice,John,Erhende,,
Fred Kwasi Apaloo,Frd Kwasi Apaloo,Frud,Kas,Apaloo,,
"Chaurembo, Ania Said","Chaurembo, Ania Sa2d",Ania,Sad,Chaurembo,,
Mathias Meinrad Chikawe,rMathias Meinrad Chikawe,Matthiah,Mennar,Chikawe,,
"Yahia, Wissem Ben","Yahia, Wisem Ben",Wisem,Ben,Yahia,,
Aziza Sleyum Ally,Aziza Sl8eyum Ally,Aziza,Sleyam,Ally,,
"Barque, Barry Moussa","Barque, Bary Moussa",Bary,Moussa,Barque,,
"Dada, Idi Amin","Dad, Idi Amin",Idi,Amin,Dad,,
Hilary R W Johnson,Hilary Ru W Johnson,Hilary,Ru W,Johnson,,
"Gana, Mohammed Abba","Gana, Mouammed Abba",Mouammed,Abba,Gana,,
Asha Haji Elmi,Asa Haji Elmi,Asa,Haji,Elmi,,
"Dlamini, Jameson Mbilini","Dlamini,, Jameson Mbilini",Jameson,Morlini,Dlamini,,
"Nouira, Hedi Amara","Nouira, Hedi ATara",Hedi,Alra,Nougira,,
F Abiola Irele,F Abiopa Irele,F,Abiopa,Irele,,
J E A Wey,J EA Wey,J,Ak,Wey,,
John Kodwo Amissah,John Kodwo Aissah,John,Kodwo,Aissah,,
"Ezeh, Alphonsus Azuogu","Ezdh, Alphonsus Azuogu",Alphonsus,Azkogu,Ezdh,,
Abubakar Tafawa Balewa,Abubaka Tafawa Balewa,Abubaka,Tafwa,Balewa,,
"Mbongo, Mbedi A","Mbongo, MbPdi A",Mudi,A,Mbongo,,
Amadou Tidiane Tall,Amadou TidianPe Tall,Amadou,Tidiana,Talle,,
"Seko, Mobutu Sese","Sek, Mobutu Sese",Mobutu,Sese,Sek,,
Fernando Neves Nando,Fernando Nevew Nando,Fernando,Neve,Nando,,
Helton Samo Cunha,Helton Sao Cunha,Helton,Sao,Cunha,,
"Dorda, Abuzed Omar","Dord, Abuzed Omar",Abuzed,Omar,Dord,,
"Samatar, Muse Dude","Samatar, Muse Dudte",Muse,Duete,Samatar,,
Hemed Mohammed Hemed,Hemmed Mohammed Hemed,Hemmed,Mohammed,Hemed,,
"Onu, Sylvester Umaru","Onu, SyKlvester Umaru",Sy,Klveettee Umaru,Onu,,
Ama Sefa Yeboah,Aa Sefa Yeboah,A,Sefa,Yeboah,,
"Deerow, Abdallah Isaaq","Deerow, AbdaIllah Isaaq",Abda,Illah Isaa,Deerow,,
"Edozien, Joseph Chike","Edozien, Josph Chike",Josph,Chike,Edozien,,
Maua Abeid Daftari,Maua Mbeid Daftari,Maua,Mbeid,Daftari,,
"Toivo, Andimba Toivo Ya","Toivo,Andimba Toivo Ya",Andimba,Toivo Yh,Toivo,,
Louis Lansana Beavogui,Louis Lansana eavogui,Louis,Lansana,Eavogui,,
"Khamis, Mwajuma Hassan","Khamis, Mwaquma Hassan",Mawuma,Hassan,Khamis,,
Alamin Mohammed Seid,Alamin Mohmmed Seid,Alamin,Mohmmed,Seid,,
Gosbert Begumisa Blandes,Gosbert Begumisa Blandels,Gobbert,Begumisa,Blandels,,
"Mariam, Mahisente Habte","Mariam, Mahisente Habt",Mahisente,Hab,Mariam,,
Buka Suka Dimka,Buka SuXa Dimka,Buka,Sumi,Dimka,,
"Tuweni, Kamilya Mohammedi","Tuweni, Kamilya Mohammed",Kamilya,Mohammed,Tuweni,,
Charles N Keenja,Charles NKeenja,Keenja,,Charles,,
George Mutandwa Chiweshe,George Mutandwa Chiwehe,George,Mutanda,Chiwehe,,
"Ameir, Kheri Khatib",Ameir. Kheri Khatib,Ameir,Kheri,Khatib,,
Theophilus Adeleke Akinyele,Theophilus Adelee Akinyele,Theophilus,Adeleee,Akinyele,,
Valery Twite Nahayo,Valery Twite Nahay,Valery,Twite,Nahay,,
"Hidig, Abdirashid Mohamed","Hidig, Abdirashid Moham5ed",Abdirashid,Mohameed,Hidig,,
Mohammed Aliyu Datti,Mohammed Aliyu Dtti,Mohammed,Aliyu,Dati,,
"Diallo, Anthony Mwandu","Diallo, Anghony Mwandu",Anghony,Maandd,Diallo,,
