original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
Fujiwara No Atsutada,Fujiwara No Atsutada,Fujiwara,No,Atsutada,,
"Bali, Rai Umanath","Bali, Rai Umanath",Rai,Umanath,Bali,,
E A Smythies,E A Smythies,E,A,Smythies,,
"Lan, Cheung Tak","Lan, Cheung Tak",Cheung,Tak,Lan,,
Mir Khasim Ali,Mir Khasim Ali,Mir,Khasim,Ali,,
"Joshi, B C","Joshi, B C",B,C,Joshi,,
D R Bendre,D R Bendre,D,R,Bendre,,
"Sirohi, Giri Raj Singh","Sirohi, Giri Raj Singh",Giri,Raj Singh,Sirohi,,
George W Hunter,George W Hunter,George,W,Hunter,,
"Nakafumi, Fujiwara No","Nakafumi, Fujiwara No",Fujiwara,No,Nakafumi,,
J P Dutta,J P Dutta,J,P,Dutta,,
Ghulam Ahmed Pervez,Ghulam Ahmed Pervez,Ghulam,Ahmed,Pervez,,
"Sharma, Som Nath","Sharma, Som Nath",Som,Nath,Sharma,,
"Vacuum, Red Bacteria","Vacuum, Red Bacteria",Red,Bacteria,Vacuum,,
Gurmit Singh Aulakh,Gurmit Singh Aulakh,Gurmit,Singh,Aulakh,,
"Ho, Chan Wai","Ho, Chan Wai",Chan,Wai,Ho,,
S K Pottekkatt,S K Pottekkatt,S,K,Pottekkatt,,
Haing S Ngor,Haing S Ngor,Haing,S,Ngor,,
"Deora, Milind Murli","Deora, Milind Murli",Milind,Murli,Deora,,
Baldev Singh Dhillon,Baldev Singh Dhillon,Baldev,Singh,Dhillon,,
Minamoto No Noriyori,Minamoto No Noriyori,Minamoto,No,Noriyori,,
"Yoshitsuna, Minamoto No","Yoshitsuna, Minamoto No",Minamoto,No,Yoshitsuna,,
Bhakti Vaibhava Puri Maharaj,Bhakti Vaibhava Puri Maharaj,Bhakti,Vaibhava Puri,Maharaj,,
"Nanavati, G T","Nanavati, G T",G,T,Nanavati,,
Lai Chee Ying,Lai Chee Ying,Lai,Chee,Ying,,
"Cheuk, Poon Yiu","Cheuk, Poon Yiu",Poon,Yiu,Cheuk,,
Taira No Noritsune,Taira No Noritsune,Taira,No,Noritsune,,
"Yoshinari, David Soria","Yoshinari, David Soria",David,Soria,Yoshinari,,
"Jadeja, Ravindra Singh","Jadeja, Ravindra Singh",Ravindra,Singh,Jadeja,,
P Paul Verma,P Paul Verma,P,Paul,Verma,,
"Thakur, Ram Singh","Thakur, Ram Singh",Ram,Singh,Thakur,,
"Jeong, Seo Hye","Jeong, Seo Hye",Seo,Hye,Jeong,,
"Gill, Piara Singh","Gill, Piara Singh",Piara,Singh,Gill,,
"Wan, Khaw Boon","Wan, Khaw Boon",Khaw,Boon,Wan,,
Kulwant Singh Pannu,Kulwant Singh Pannu,Kulwant,Singh,Pannu,,
"Bokadia, K C","Bokadia, K C",K,C,Bokadia,,
Mohamed Ali Khan Walajan,Mohamed Ali Khan Walajan,Mohamed,Ali Khan,Walajan,,
V R Naren Kumar,V R Naren Kumar,V,R Naren,Kumar,,
"Fusasaki, Fujiwara No","Fusasaki, Fujiwara No",Fujiwara,No,Fusasaki,,
Muzammil H Siddiqi,Muzammil H Siddiqi,Muzammil,H,Siddiqi,,
"Kania, H J","Kania, H J",H,J,Kania,,
Premindra Singh Bhagat,Premindra Singh Bhagat,Premindra,Singh,Bhagat,,
"Kanemichi, Fujiwara No","Kanemichi, Fujiwara No",Fujiwara,No,Kanemichi,,
"Yadav, Karan Singh","Yadav, Karan Singh",Karan,Singh,Yadav,,
Kim Kwan Cheol,Kim Kwan Cheol,Kim,Kwan,Cheol,,
"Akimitsu, Fujiwara No","Akimitsu, Fujiwara No",Fujiwara,No,Akimitsu,,
Satyendra Narayan Sinha,Satyendra Narayan Sinha,Satyendra,Narayan,Sinha,,
"Suri, Sher Shah","Suri, Sher Shah",Sher,Shah,Suri,,
"Urs, D Devaraj","Urs, D Devaraj",D,Devaraj,Urs,,
Choi Soo Jong,Choi Soo Jong,Choi,Soo,Jong,,
"Puri, K R","Puri, K R",K,R,Puri,,
"Sano, Roy I","Sano, Roy I",Roy,I,Sano,,
Cathy Bao Bean,Cathy Bao Bean,Cathy,Bao,Bean,,
Nirmal Jit Singh Sekhon,Nirmal Jit Singh Sekhon,Nirmal,Jit Singh,Sekhon,,
"Yue, Wong Chun","Yue, Wong Chun",Wong,Chun,Yue,,
Cheung Man Kwong,Cheung Man Kwong,Cheung,Man,Kwong,,
J C Daniel,J C Daniel,J,C,Daniel,,
"Sang, Gaston Tong","Sang, Gaston Tong",Gaston,Tong,Sang,,
T N Kaul,T N Kaul,T,N,Kaul,,
"Yin, Chung Ho","Yin, Chung Ho",Chung,Ho,Yin,,
"Korenari, Fujiwara No","Korenari, Fujiwara No",Fujiwara,No,Korenari,,
Muhammad Hidayat Ullah,Muhammad Hidayat Ullah,Muhammad,Hidayat,Ullah,,
"Baba, Sant Gadge","Baba, Sant Gadge",Sant,Gadge,Baba,,
Mani Damodara Chakyar,Mani Damodara Chakyar,Mani,Damodara,Chakyar,,
