original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
"Lan, Cheung Tak","Lqn, Cheung Tak",Cheung,Tak,Lan,,
Mir Khasim Ali,Mir KhasimAli,Mir,Khasim,Ali,,
"Joshi, B C","Joshi,  B C",B,C,Joshi,,
D R Bendre,D R  Bendre,D,R,Bendre,,
Ghulam Ahmed Pervez,Ghulam Ahmed  Pervez,Ghulam,Ahmed,Pervez,,
Fujiwara No Toshihito,Fujiwar No Toshihito,Fujiwara,No,Toshihito,,
"Ho, Chan Wai","Ho,Chan Wai",Chan,Wai,Ho,,
S K Pottekkatt,S  K Pottekkatt,S,K,Pottekkatt,,
Baldev Singh Dhillon,BalWdev Singh Dhillon,Baldev,Singh,Dhillon,,
John Alexander Low Waddell,John AleLander Low Waddell,John,Alexander Low,Waddell,,
Minamoto No Noriyori,Minamoto NUo Noriyori,Minamoto,No,Noriyori,,
Bhakti Vaibhava Puri Maharaj,Bhakti Vaibhava PuriMaharaj,Bhakti,Vaibhava Puri,Maharaj,,
"Nanavati, G T","Nanavati,  G T",G,T,Nanavati,,
Taira No Noritsune,Taira  No Noritsune,Taira,No,Noritsune,,
Fujiwara No Nakamaro,Fu7jiwara No Nakamaro,Fujiwara,No,Nakamaro,,
"Kong, Wah Kau","Kong,  Wah Kau",Wah,Kau,Kong,,
"Yoshinari, David Soria","Yoshinari, Davld Soria",David,Soria,Yoshinari,,
Amolak Rathan Kohli,Amolak Rathan 5Kohli,Amolak,Rathan,Kohli,,
P Paul Verma,P PaSul Verma,P,Paul,Verma,,
"Wan, Khaw Boon","Wa, Khaw Boon",Khaw,Boon,Wan,,
"Bokadia, K C","Bokadia,  K C",K,C,Bokadia,,
V R Naren Kumar,V R NarenKumar,V,R Naren,Kumar,,
"Kania, H J","Kania,,H J",H,J,Kania,,
Premindra Singh Bhagat,Premindr Singh Bhagat,Premindra,Singh,Bhagat,,
"Yadav, Karan Singh","Yadav, Ka4an Singh",Karan,Singh,Yadav,,
Satyendra Narayan Sinha,Satyendra  Narayan Sinha,Satyendra,Narayan,Sinha,,
Tsutsui Jomyo Meishu,Tsutsui  Jomyo Meishu,Tsutsui,Jomyo,Meishu,,
"Naiker, D K","Naiker,,D K",D,K,Naiker,,
V K Krishna Menon,V K Krishna 8Menon,V,K Krishna,Menon,,
"Puri, K R","Puri, K  R",K,R,Puri,,
J C Daniel,J C.Daniel,J,C,Daniel,,
"Baba, Sant Gadge","Babz, Sant Gadge",Sant,Gadge,Baba,,
Girdhari Lal Bhargava,"Girdhari Lal,Bhargava",Girdhari,Lal,Bhargava,,
"Eng, Yeap Cheng","Eng,, Yeap Cheng",Yeap,Cheng,Eng,,
"Koretada, Fujiwara No","Koretada, Fujiwara NEo",Fujiwara,No,Koretada,,
Kenji Kosaka,Kehji Kosaka,Kenji,,Kosaka,,
Ji Mingyi,JiMingyi,Ji,,Mingyi,,
"Agnihotri, Bharat","Agnihotri,Bharat",Bharat,,Agnihotri,,
Song Zheyuan,SongZheyuan,Song,,Zheyuan,,
"Masuda, Keiko","Masuda,Keiko",Keiko,,Masuda,,
Tsutomu Takebe,Tsutomu  Takebe,Tsutomu,,Takebe,,
"Vora, Motilal","Vora,,Motilal",Motilal,,Vora,,
Cang Xin,Cang 0Xin,Cang,,Xin,,
"Morishima, Takeshi",Morishima Takeshi,Takeshi,,Morishima,,
Sukumar Ray,Sukumar Ra8y,Sukumar,,Ray,,
"Tingfang, Bie","TingfanKg, Bie",Bie,,Tingfang,,
Cheng Yi,ChengYi,Cheng,,Yi,,
"Zhuo, Dong","Zhuo,,Dong",Dong,,Zhuo,,
Honda Tadamasa,Honda Tadamasa,Honda,,Tadamasa,,
Tiruppur Kumaran,Tiruppur  Kumaran,Tiruppur,,Kumaran,,
Gao Qipei,Gao.Qipei,Gao,,Qipei,,
"Takamachi, Nanoha","Takamachi,, Nanoha",Nanoha,,Takamachi,,
"Honda, Hirotoshi","Honda,Hirotoshi",Hirotoshi,,Honda,,
"Kobayashi, Tomoki","Kobayashi,.Tomoki",Tomoki,,Kobayashi,,
Ramo Nakajima,Ramo  Nakajima,Ramo,,Nakajima,,
Nana Patekar,Nana  Patekar,Nana,,Patekar,,
Elijah Impey,Elijwh Impey,Elijah,,Impey,,
Tadao Ando,TadaoAndo,Tadao,,Ando,,
"Guan, Tong","Guan,, Tong",Tong,,Guan,,
Remi Kaler,RemiKaler,Remi,,Kaler,,
"Shoujing, Guo","Shoujing,, Guo",Guo,,Shoujing,,
"Tsai, Rick","Tsai, 6Rick",Rick,,Tsai,,
Yang Bo,Yang  Bo,Yang,,Bo,,
"Kakichi, Uchida","Kakichi,, Uchida",Uchida,,Kakichi,,
Zhong Ding,Zhong UDing,Zhong,,Ding,,
Mussarat Abbas,Mussarat Abbqas,Mussarat,,Abbas,,
"Ganguly, Sourav","Ganguly,Sourav",Sourav,,Ganguly,,
"Devi, Leela","Devi, Leelaa",Leela,,Devi,,
"Gongyao, Zhang","GongyaBo, Zhang",Zhang,,Gongyao,,
"Dighe, Sameer","zDighe, Sameer",Sameer,,Dighe,,
"Spector, Dave",Spector Dave,Dave,,Spector,,
"Yumemakura, Baku","Yumemakura, Bsku",Baku,,Yumemakura,,
Amit Shah,Amit  Shah,Amit,,Shah,,
Matilal Sarkar,Matilal Sark3ar,Matilal,,Sarkar,,
"Usagi, Miyamoto","UsagRi, Miyamoto",Miyamoto,,Usagi,,
Reema Sen,Reema.Sen,Reema,,Sen,,
"Guangyi, Wang","Guwngyi, Wang",Wang,,Guangyi,,
"Hong, Gene","Hong,  Gene",Gene,,Hong,,
Black Box,Black  Box,Black,,Box,,
Minako Seki,Minak0o Seki,Minako,,Seki,,
"Ji, Liang","Ji,  Liang",Liang,,Ji,,
"Takai, Miho","Takai, Mi0ho",Miho,,Takai,,
Mir Qasim,MirQasim,Mir,,Qasim,,
Arvind Dave,"Arvind D,ve",Arvind,,Dave,,
Madhu Koda,Madhu KoPda,Madhu,,Koda,,
"Watanabe, Yoshimi","Watanabe,  Yoshimi",Yoshimi,,Watanabe,,
"Kadphises, Kujula","Kadphises, Kujul1a",Kujula,,Kadphises,,
"Kanvinde, Achyut","Kanvindqe, Achyut",Achyut,,Kanvinde,,
"Hui, Shi","H7i, Shi",Shi,,Hui,,
Eiichiro Washio,Eiichiro  Washio,Eiichiro,,Washio,,
Narasaraja Wodeyar II,Narasaraja Wodeyar I,Narasaraja,,Wodeyar,,II
Balbir Singh Sr.,Balbir SingKh Sr.,Balbir,,Singh,,Sr
