original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
Fujiwara No Atsutada,Fujiwara N Atsutada,Fujiwara,N,Atsutada,,
"Bali, Rai Umanath","Bali, Rai CUmanath",Rai,Aemanath,Bali,,
E A Smythies,"E,A Smythies",A,Syythies,E,,
"Sirohi, Giri Raj Singh","Siroh, Giri Raj Singh",Sirohh,Giri Raj,Singh,,
George W Hunter,George W Bunter,George,W,Bunter,,
"Nakafumi, Fujiwara No","Nakafumi, Fujiwaea No",Fujiwaea,No,Nakafumi,,
J P Dutta,JP Dutta,J,,Dutta,,
"Ajnala, Rattan Singh","Ajnalva, Rattan Singh",Rattan,Singh,Anala,,
"Sharma, Som Nath","Sharma, om Nath",Om,Nath,Sharma,,
"Vacuum, Red Bacteria","Vacuum, Red 5acteria",Red,Nacteria,Vacuum,,
Gurmit Singh Aulakh,"Gurmit S,ingh Aulakh",Gurmit,Sinne,Aulakh,,
"Swee, Goh Keng",Swee  Goh Keng,Swe,Goh,Keng,,
Haing S Ngor,Haing SNgor,Haing,,Ngor,,
"Deora, Milind Murli",Deora Milind Murli,Deora,Milind,Muri,,
"Gupta, N C Sen","Gupta,  N C Sen",N,C See,Gupta,,
"Tso, Yee Jee","Tso, Yee Jed",Yee,Je,Tso,,
"Khan, Azmi Maulana Obaidullah","Khan, Azmi Maulanal Obaidullah",Azmi,Maulanal Obdidullah,Khan,,
"Yoshitsuna, Minamoto No","Yoshitsuna, MiPnamoto No",Mi,Pnamoho No,Yoshitsuna,,
Lai Chee Ying,Lai Chee Ning,Lai,Chee,Ning,,
"Cheuk, Poon Yiu","Cheuk, Poon YAu",Poon,Yu,Cheuk,,
"American, Punjabi Mexican","American, Punjabi exican",Punjabi,Trican,American,,
"Jadeja, Ravindra Singh","Jadeja, RUavindra Singh",Ruvindra,Singh,Jadeja,,
"Thakur, Ram Singh","Thaur, Ram Singh",Ram,Singh,Thaur,,
Tonse Madhav Ananth Pai,Tons Madhav Ananth Pai,Tons,Madhav Ananth,Pai,,
"Jeong, Seo Hye","Jeong, Se9 Hye",Se,Hye,Jeong,,
Abhinn Shyam Gupta,Abhinn Shtam Gupta,Abhinn,Shtam,Gupta,,
"Gill, Piara Singh","Gill, Piara Sinvh",Piara,Sinh,Gill,,
Ma Mon Luk,Ma Mon Lu,Ma,Mon,Lu,,
Kulwant Singh Pannu,Kulwrant Singh Pannu,Kulwrant,Singh,Pannu,,
