original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
Fujiwara No Atsutada,Fujiwara N Atsutada,Fujiwara,N,Atsutada,,
"Bali, Rai Umanath","Bali, Rai CUmanath",Rai,CUmanath,Bali,,
"Lan, Cheung Tak","Lqn, Cheung Tak",Cheung,Tak,Lqn,,
Mir Khasim Ali,Mir KhasimAli,Mir,Khasim,Ali,,
"Joshi, B C","Joshi,  B C",B,C,Joshi,,
D R Bendre,D R  Bendre,D,R,Bendre,,
George W Hunter,George W Bunter,George,W,Bunter,,
"Nakafumi, Fujiwara No","Nakafumi, Fujiwaea No",Fujiwaea,No,Nakafumi,,
"Ajnala, Rattan Singh","Ajnalva, Rattan Singh",Rattan,Singh,Ajnalva,,
Ghulam Ahmed Pervez,Ghulam Ahmed  Pervez,Ghulam,Ahmed,Pervez,,
"Sharma, Som Nath","Sharma, om Nath",om,Nath,Sharma,,
Fujiwara No Toshihito,Fujiwar No Toshihito,Fujiwar,No,Toshihito,,
"Vacuum, Red Bacteria","Vacuum, Red 5acteria",Red,5acteria,Vacuum,,
Gurmit Singh Aulakh,"Gurmit S,ingh Aulakh",Gurmit,"S,ingh",Aulakh,,
"Ho, Chan Wai","Ho,Chan Wai",Chan,Wai,Ho,,
S K Pottekkatt,S  K Pottekkatt,S,K,Pottekkatt,,
"Gupta, N C Sen","Gupta,  N C Sen",N,C Sen,Gupta,,
Baldev Singh Dhillon,BalWdev Singh Dhillon,BalWdev,Singh,Dhillon,,
"Tso, Yee Jee","Tso, Yee Jed",Yee,Jed,Tso,,
John Alexander Low Waddell,John AleLander Low Waddell,John,AleLander Low,Waddell,,
"Khan, Azmi Maulana Obaidullah","Khan, Azmi Maulanal Obaidullah",Azmi,Maulanal Obaidullah,Khan,,
Minamoto No Noriyori,Minamoto NUo Noriyori,Minamoto,NUo,Noriyori,,
Bhakti Vaibhava Puri Maharaj,Bhakti Vaibhava PuriMaharaj,Bhakti,Vaibhava Puri,Maharaj,,
"Nanavati, G T","Nanavati,  G T",G,T,Nanavati,,
Lai Chee Ying,Lai Chee Ning,Lai,Chee,Ning,,
"Cheuk, Poon Yiu","Cheuk, Poon YAu",Poon,YAu,Cheuk,,
Taira No Noritsune,Taira  No Noritsune,Taira,No,Noritsune,,
"American, Punjabi Mexican","American, Punjabi exican",Punjabi,exican,American,,
Fujiwara No Nakamaro,Fu7jiwara No Nakamaro,Fu7jiwara,No,Nakamaro,,
"Kong, Wah Kau","Kong,  Wah Kau",Wah,Kau,Kong,,
"Yoshinari, David Soria","Yoshinari, Davld Soria",Davld,Soria,Yoshinari,,
Amolak Rathan Kohli,Amolak Rathan 5Kohli,Amolak,Rathan,5Kohli,,
"Jadeja, Ravindra Singh","Jadeja, RUavindra Singh",RUavindra,Singh,Jadeja,,
P Paul Verma,P PaSul Verma,P,PaSul,Verma,,
"Thakur, Ram Singh","Thaur, Ram Singh",Ram,Singh,Thaur,,
Tonse Madhav Ananth Pai,Tons Madhav Ananth Pai,Tons,Madhav Ananth,Pai,,
"Jeong, Seo Hye","Jeong, Se9 Hye",Se9,Hye,Jeong,,
Abhinn Shyam Gupta,Abhinn Shtam Gupta,Abhinn,Shtam,Gupta,,
"Gill, Piara Singh","Gill, Piara Sinvh",Piara,Sinvh,Gill,,
Ma Mon Luk,Ma Mon Lu,Ma,Mon,Lu,,
"Wan, Khaw Boon","Wa, Khaw Boon",Khaw,Boon,Wa,,
Kulwant Singh Pannu,Kulwrant Singh Pannu,Kulwrant,Singh,Pannu,,
"Bokadia, K C","Bokadia,  K C",K,C,Bokadia,,
V R Naren Kumar,V R NarenKumar,V,R Naren,Kumar,,
"Fusasaki, Fujiwara No","Fusasaki, Fumjiwara No",Fumjiwara,No,Fusasaki,,
Muzammil H Siddiqi,Muzammil H SiddiUqi,Muzammil,H,SiddiUqi,,
Liu Kai Chi,Liu Ki Chi,Liu,Ki,Chi,,
Premindra Singh Bhagat,Premindr Singh Bhagat,Premindr,Singh,Bhagat,,
"Kanemichi, Fujiwara No","Kanemichi, Fujiwaba No",Fujiwaba,No,Kanemichi,,
Oh Man Seok,O Man Seok,O,Man,Seok,,
"Yadav, Karan Singh","Yadav, Ka4an Singh",Ka4an,Singh,Yadav,,
Kim Kwan Cheol,Kim Kwan CBeol,Kim,Kwan,CBeol,,
"Akimitsu, Fujiwara No","Akimitsu, hujiwara No",hujiwara,No,Akimitsu,,
Satyendra Narayan Sinha,Satyendra  Narayan Sinha,Satyendra,Narayan,Sinha,,
"Chan, Ngeow Sze","Cha, Ngeow Sze",Ngeow,Sze,Cha,,
Vishnu Sakharam Khandekar,Vihnu Sakharam Khandekar,Vihnu,Sakharam,Khandekar,,
"Suri, Sher Shah","Suri, Sher ZShah",Sher,ZShah,Suri,,
Tsutsui Jomyo Meishu,Tsutsui  Jomyo Meishu,Tsutsui,Jomyo,Meishu,,
Brij Lal Varma,Brii Lal Varma,Brii,Lal,Varma,,
"Urs, D Devaraj","Ur, D Devaraj",D,Devaraj,Ur,,
V K Krishna Menon,V K Krishna 8Menon,V,K Krishna,8Menon,,
"Puri, K R","Puri, K  R",K,R,Puri,,
"Sano, Roy I","Sanl, Roy I",Roy,I,Sanl,,
Cathy Bao Bean,Cathy ao Bean,Cathy,ao,Bean,,
Jong Won Park,JNong Won Park,JNong,Won,Park,,
Nirmal Jit Singh Sekhon,Nirmal Jit Singh SRekhon,Nirmal,Jit Singh,SRekhon,,
"Yue, Wong Chun","Ye, Wong Chun",Wong,Chun,Ye,,
Cheung Man Kwong,Cheung Man Kong,Cheung,Man,Kong,,
"Basheer, Vaikom Muhammad","Bashee9, Vaikom Muhammad",Vaikom,Muhammad,Bashee9,,
J C Daniel,J C.Daniel,J,C,Daniel,,
"Sang, Gaston Tong","Sang, Gavton Tong",Gavton,Tong,Sang,,
Muhammad Hidayat Ullah,Mumhammad Hidayat Ullah,Mumhammad,Hidayat,Ullah,,
"Baba, Sant Gadge","Babz, Sant Gadge",Sant,Gadge,Babz,,
Mani Damodara Chakyar,Mlani Damodara Chakyar,Mlani,Damodara,Chakyar,,
"Singh, Bhai Taru","Singh, Bha Taru",Bha,Taru,Singh,,
"Ki, Chan Siu","Ki, Chan Si",Chan,Si,Ki,,
"Chuen, Tsang Lap","Chupen, Tsang Lap",Tsang,Lap,Chupen,,
"Koretada, Fujiwara No","Koretada, Fujiwara NEo",Fujiwara,NEo,Koretada,,
Kenji Kosaka,Kehji Kosaka,Kehji,,Kosaka,,
Ji Mingyi,JiMingyi,Ji,,Mingyi,,
"Daqian, Zhang","Daqian, Znang",Znang,,Daqian,,
Hu Jinguang,H Jinguang,H,,Jinguang,,
"Agnihotri, Bharat","Agnihotri,Bharat",Bharat,,Agnihotri,,
Frederic Thesiger,Frederic Thlsiger,Frederic,,Thlsiger,,
"Yunhe, Pan","Yunhe, Pax",Pax,,Yunhe,,
Satoru Iwata,Satoru Iata,Satoru,,Iata,,
Song Zheyuan,SongZheyuan,Song,,Zheyuan,,
"Tang, Ai","Tan, Ai",Ai,,Tan,,
Takashi Ishizeki,Takashi Ishizfeki,Takashi,,Ishizfeki,,
"Seigen, Go","Seigen, G",G,,Seigen,,
Dinshah Irani,Dinshah Irasni,Dinshah,,Irasni,,
"Mochizuki, Masaaki","Mochizuki, Masaki",Masaki,,Mochizuki,,
Jal Cooper,Jal Coope,Jal,,Coope,,
"Masuda, Keiko","Masuda,Keiko",Keiko,,Masuda,,
Tsutomu Takebe,Tsutomu  Takebe,Tsutomu,,Takebe,,
