original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
"Jones, V M","Jones,V M",V,,Jones,, M
"Dlamini, Jameson Mbilini","Dlamini,, Jameson Mbilini",Jameson,Mbilini,"Dlamini,",,
J E A Wey,J EA Wey,J,EA,Wey,,
Amadou Tidiane Tall,Amadou TidianPe Tall,TidianPe,Tall,Amadou,,
"Deerow, Abdallah Isaaq","Deerow, AbdaIllah Isaaq",Abda,Illah Isaaq,Deerow,,
Khalida Rashid Khan,Khalida Rashid.Khan,Khalida,Rashid.,Khan,,
Charles N Keenja,Charles NKeenja,Charles,,NKeenja,,
"Ameir, Kheri Khatib",Ameir. Kheri Khatib,Ameir.,Kheri,Khatib,,
"Daar, Aden Abdullah Osman","Daar, Aden AbdullahOsman",Aden,AbdullahOs,Daar,,man
"Chuka, Stefano Okaka",Chuka Stefano Okaka,Chuka,Stefano,Okaka,,
Anthony Snoti Laffor,Anthony Snoti.Laffor,Anthony,Snoti.,Laffor,,
"Goje, Mohammed Danjuma","Goje,,Mohammed Danjuma",Mohammed,Danjuma,"Goje,",,
"Animashaun, Mustapha Adamu","AnimaKshaun, Mustapha Adamu",",",Mustapha Adamu,AnimaKshau,,
Mohammed Said Bareh,Mohammed aid Bareh,aid,Bareh,Mohammed,,
Ben Dhifallah,Ben.Dhifallah,Ben.,,Dhifallah,,
"Kamaphitha, Uzibhebhu",Kamaphitha Uzibhebhu,Kamaphitha,,Uzibhebhu,,
Shanyurai Majange,"Shanyurai,Majange",Majange,,Shanyurai,,
"Bencherif, Hamza","Bencherif,, Hamza",Hamza,,"Bencherif,",,
"Mbangwa, Mpumelelo",Mbangwa. Mpumelelo,Mbangwa.,,Mpumelelo,,
"Bungei, Wilfred",Bungei  Wilfred,Bungei,, Wilfred,,
"Yahyaoui, Insaf","Yahyaoui, InsaT",Insa,T,Yahyaoui,,
Koranteng Amoako,Koraneng Amoako,Amoako,,Koraneng,,
Ibrahim Idris,Ibrahim  Idris,Idris,,Ibrahim,,
Kuku Sebsebe,Kuku Sebdebe,Sebdebe,,Kuku,,
"Modo, Ben","Modo,,Ben",Ben,,"Modo,",,
"Mwakwere, Ali","Mwakwere,.Ali",.Ali,,Mwakwere,,
Djamel Abdoun,"Djamel,Abdoun",Abdoun,,Djamel,,
Souleymane Youla,CSouleymane Youla,C,Souleymane,Youla,,
Maurice Tadajeu,Maurice TadCajeu,Maurice,Tad,Cajeu,,
"Moumban, Karim","Moumban,, Karim",Karim,,"Moumban,",,
"Munyaneza, Henri",Munyaneza Henri,Munyaneza,,Henri,,
Mbulaeni Mulaudzi,"Mbulaeni,Mulaudzi",Mulaudzi,,Mbulaeni,,
"Diori, Hamani","Diori,,Hamani",Hamani,,"Diori,",,
Hakainde Hichilema,Hakainde HichileMma,Hakainde,Hichile,Mma,,
Marguerite Barankitse,Marg5uerite Barankitse,Marg5uerit,e,Barankitse,,
"Belaid, Tijani",Belaid Tijani,Belaid,,Tijani,,
"Selassie, Wolde","Selassie,.Wolde",.Wolde,,Selassie,,
"Keshi, Stephen",Keshi Stephen,Keshi,,Stephen,,
Edmund Morris,"Edmund,Morris",Morris,,Edmund,,
"Diamoutene, Souleymane","Deiamoutene, Souleymane",",",Souleymane,Deiamouten,,
Kenyan British,Kenyan  British,Kenyan ,,British,,
"Owu, George","Owu,, George",George,,"Owu,",,
"Kitamirike, Joel",Kitamirike  Joel,Kitamirike,,Joel,,
Alaixys Romao,Alaixys.Romao,Alaixys.,,Romao,,
"Yahia, Alaeddine","Yahia,.Alaeddine",.Alaeddine,,Yahia,,
Osei Kofi Tutu I,Osei Kofi utu I,Kofi,utu I,Osei,,
Mikel John OBI,Mikel  John OBI,Mikel,John,OBI,,
