original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
George Rostrevor Hamilton,George Rostrevor Hamilton,George,Rosteefoo,Hamilton,,
Edward William Vernon Harcourt,Edward William Vernon Harcourt,Edward,William Vernon,Harrourt,,
John Cunningham Saunders,John Cunningham Saunders,John,Cunnnnnamm,Saunders,,
"Acton, Charles Januarius","Acton, Charles Januarius",Charles,Janaarius,Acton,,
G D'Arcy Boulton,G D'Arcy Boulton,G,Dacyy,Boulton,,
"Fox-Davies, Arthur Charles","Fox-Davies, Arthur Charles",Arthur,Charles,Foxvivis,,
Kenneth Hamilton Jenkin,Kenneth Hamilton Jenkin,Kenneth,Hamiloon,Jenkin,,
"Centre, Carrubbers Christian","Centre, Carrubbers Christian",Carrubbesh,Christian,Centre,,
"Santmyer, Helen Hooven","Santmyer, Helen Hooven",Helen,Hovven,Santyyer,,
Arthur Shearly Cripps,Arthur Shearly Cripps,Arthur,Sherrly,Cripps,,
"Gill, Parmjit Singh","Gill, Parmjit Singh",Parmiji,Singh,Gill,,
"Stoner, Edmund Clifton","Stoner, Edmund Clifton",Edmund,Clitto,Stoner,,
Elizabeth Jennings Graham,Elizabeth Jennings Graham,Elizabeth,Jenninas,Graham,,
"Beaumont, Dave","Beaumont, Dave",Dave,,Beaumong,,
"Anderson, Daphne","Anderson, Daphne",Daphin,,Anderson,,
Falconer Madan,Falconer Madan,Madan,,Falconer,,
Heneage Finch,Heneage Finch,Heniage,,Finch,,
"Abrahams, Sidney","Abrahams, Sidney",Siddey,,Abrahams,,
Tony Di Bart,Tony Di Bart,Tony,Di,Bart,,
Thomas Tresham I,Thomas Tresham I,Thomas,Tresham,I,,
Thomas Wedgwood IV,Thomas Wedgwood IV,Thomas,,Wedwwood,,IV
Thomas Assheton Smith I,Thomas Assheton Smith I,Thomas,Asshettn Smith,I,,
Aubrey De Vere III,Aubrey De Vere III,Aubrey,De,Vere,,III
Josiah Wedgwood III,Josiah Wedgwood III,Josiah,,Wedwwood,,III
