original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
George Rostrevor Hamilton,George Rostrevor Hamilton,George,Rostrevor,Hamilton,,
"Thompson, Caroline H","Thompson, Caroline H",Caroline,H,Thompson,,
E M Grace,E M Grace,E,M,Grace,,
"Lethbridge, Thomas Charles","Lethbridge, Thomas Charles",Thomas,Charles,Lethbridge,,
Joseph Lowthian Hudson,Joseph Lowthian Hudson,Joseph,Lowthian,Hudson,,
"Barnes, Henry Edwin","Barnes, Henry Edwin",Henry,Edwin,Barnes,,
Michael L Williams,Michael L Williams,Michael,L,Williams,,
"Westwood, John Obadiah","Westwood, John Obadiah",John,Obadiah,Westwood,,
Edward William Vernon Harcourt,Edward William Vernon Harcourt,Edward,William Vernon,Harcourt,,
"Ashton, Thomas Gair","Ashton, Thomas Gair",Thomas,Gair,Ashton,,
Harry Marshall Ward,Harry Marshall Ward,Harry,Marshall,Ward,,
"Ewing, Juliana Horatia","Ewing, Juliana Horatia",Juliana,Horatia,Ewing,,
"Cook, Paul Anthony","Cook, Paul Anthony",Paul,Anthony,Cook,,
Edward Henry Trotter,Edward Henry Trotter,Edward,Henry,Trotter,,
Henry William Bunbury,Henry William Bunbury,Henry,William,Bunbury,,
Frederic Arthur Kelley,Frederic Arthur Kelley,Frederic,Arthur,Kelley,,
"Montagu, Edwin Samuel","Montagu, Edwin Samuel",Edwin,Samuel,Montagu,,
Michael E Pegram,Michael E Pegram,Michael,E,Pegram,,
"Waterhouse, John William","Waterhouse, John William",John,William,Waterhouse,,
John Henry Jones,John Henry Jones,John,Henry,Jones,,
"Webb, George James","Webb, George James",George,James,Webb,,
Louis L Redding,Louis L Redding,Louis,L,Redding,,
"Davies, Hugh Sykes","Davies, Hugh Sykes",Hugh,Sykes,Davies,,
"Walter, Alan Fitz","Walter, Alan Fitz",Alan,Fitz,Walter,,
James B Francis,James B Francis,James,B,Francis,,
"Hudson, Robert William","Hudson, Robert William",Robert,William,Hudson,,
Kenneth Hamilton Jenkin,Kenneth Hamilton Jenkin,Kenneth,Hamilton,Jenkin,,
John Basson Humffray,John Basson Humffray,John,Basson,Humffray,,
"Croker, John Wilson","Croker, John Wilson",John,Wilson,Croker,,
Innes Harold Stranger,Innes Harold Stranger,Innes,Harold,Stranger,,
"Gosset, William Sealy","Gosset, William Sealy",William,Sealy,Gosset,,
Charlotte Mary Yonge,Charlotte Mary Yonge,Charlotte,Mary,Yonge,,
"Strong, Samuel Henry","Strong, Samuel Henry",Samuel,Henry,Strong,,
"Hills, Richard L","Hills, Richard L",Richard,L,Hills,,
David Alfred Thomas,David Alfred Thomas,David,Alfred,Thomas,,
"Englander, A A","Englander, A A",A,A,Englander,,
Cha Cha Cohen,Cha Cha Cohen,Cha,Cha,Cohen,,
"Greenhill, Alfred George","Greenhill, Alfred George",Alfred,George,Greenhill,,
Ben T Russell,Ben T Russell,Ben,T,Russell,,
"Handley, Wal L","Handley, Wal L",Wal,L,Handley,,
"Santmyer, Helen Hooven","Santmyer, Helen Hooven",Helen,Hooven,Santmyer,,
John E Owens,John E Owens,John,E,Owens,,
B V Bowden,B V Bowden,B,V,Bowden,,
"Seymour, Edward Hobart","Seymour, Edward Hobart",Edward,Hobart,Seymour,,
Arthur Shearly Cripps,Arthur Shearly Cripps,Arthur,Shearly,Cripps,,
"Bronson, James H","Bronson, James H",James,H,Bronson,,
Little Jack Little,Little Jack Little,Little,Jack,Little,,
Ernest Henry Shears,Ernest Henry Shears,Ernest,Henry,Shears,,
"Tuke, James Hack","Tuke, James Hack",James,Hack,Tuke,,
George Edward Cates,George Edward Cates,George,Edward,Cates,,
"Nation, Carrie A","Nation, Carrie A",Carrie,A,Nation,,
Roy Ward Baker,Roy Ward Baker,Roy,Ward,Baker,,
"Taylor, John Mark","Taylor, John Mark",John,Mark,Taylor,,
James Henry Monk,James Henry Monk,James,Henry,Monk,,
"Brewer, Ebenezer Cobham","Brewer, Ebenezer Cobham",Ebenezer,Cobham,Brewer,,
J Bruce Ismay,J Bruce Ismay,J,Bruce,Ismay,,
Anthony Clarke Booth,Anthony Clarke Booth,Anthony,Clarke,Booth,,
"Studios, Little Tardis","Studios, Little Tardis",Little,Tardis,Studios,,
John Cooper Forster,John Cooper Forster,John,Cooper,Forster,,
"Williams, Thomas H","Williams, Thomas H",Thomas,H,Williams,,
James Clark Mcreynolds,James Clark Mcreynolds,James,Clark,Mcreynolds,,
"Annan, Daniel Francis","Annan, Daniel Francis",Daniel,Francis,Annan,,
George H Bryan,George H Bryan,George,H,Bryan,,
