original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
E M Grace,E M GRace,E,M,Grace,,
"Lethbridge, Thomas Charles","Lethbridge, ThomasCharles",Thomas,Charles,Lethbridge,,
"Westwood, John Obadiah","Westwood, Johj Obadiah",John,Obadiah,Westwood,,
"Ashton, Thomas Gair","Ashton,, Thomas Gair",Thomas,Gair,Ashton,,
Harry Marshall Ward,HarryMarshall Ward,Harry,Marshall,Ward,,
"Cook, Paul Anthony","Cook, Paul An5hony",Paul,Anthony,Cook,,
Henry William Bunbury,Henry William BunbGury,Henry,William,Bunbury,,
"Waterhouse, John William","Waterhouse,.John William",John,William,Waterhouse,,
Louis L Redding,LouisL Redding,Louis,L,Redding,,
"Walter, Alan Fitz","Walter,.Alan Fitz",Alan,Fitz,Walter,,
James B Francis,James  B Francis,James,B,Francis,,
"Hudson, Robert William","Hudson,Robert William",Robert,William,Hudson,,
Innes Harold Stranger,Innes.Harold Stranger,Innes,Harold,Stranger,,
Charlotte Mary Yonge,Charlotte Mary Ynge,Charlotte,Mary,Yonge,,
"Strong, Samuel Henry","StrPong, Samuel Henry",Samuel,Henry,Strong,,
Ben T Russell,Ben T Russekll,Ben,T,Russell,,
"Bronson, James H","Bronson,James H",James,H,Bronson,,
Little Jack Little,Little.Jack Little,Little,Jack,Little,,
"Tuke, James Hack","Tuke, JamesHack",James,Hack,Tuke,,
"Nation, Carrie A","gNation, Carrie A",Carrie,A,Nation,,
James Henry Monk,JamesHenry Monk,James,Henry,Monk,,
J Bruce Ismay,J BruceIsmay,J,Bruce,Ismay,,
Anthony Clarke Booth,Anthony Clarvke Booth,Anthony,Clarke,Booth,,
"Studios, Little Tardis","Studios, Little TarLdis",Little,Tardis,Studios,,
"Annan, Daniel Francis","Annan, Daniel Fr2ncis",Daniel,Francis,Annan,,
George H Bryan,George H  Bryan,George,H,Bryan,,
"Wigington, Clarence W","Wigington,, Clarence W",Clarence,W,Wigington,,
"Shahbazi, Alireza Shapour","GShahbazi, Alireza Shapour",Alireza,Shapour,Shahbazi,,
Habib Nasib Nader,Habib Nasib Nadedr,Habib,Nasib,Nader,,
"Esmond, Henry V","EsmoFnd, Henry V",Henry,V,Esmond,,
Thomas Walter Jennings,Thomas  Walter Jennings,Thomas,Walter,Jennings,,
C H Douglas,C  H Douglas,C,H,Douglas,,
William Gifford Palgrave,WilliamGifford Palgrave,William,Gifford,Palgrave,,
"Oglesby, Richard James","Oglesby, Richard  James",Richard,James,Oglesby,,
"Simms, George Otto","Simms, George ,Otto",George,Otto,Simms,,
Moses A Hopkins,Moses A Hpkins,Moses,A,Hopkins,,
"Pillay, Gerald J","Pillay,, Gerald J",Gerald,J,Pillay,,
John Silkin,JohnSilkin,John,,Silkin,,
Duncan Mclaren,DuncanMclaren,Duncan,,Mclaren,,
Brian Greene,BriaH Greene,Brian,,Greene,,
Alfred Waud,AlfredWaud,Alfred,,Waud,,
"David, Dharshini","David,, Dharshini",Dharshini,,David,,
George Ault,GeorgeAult,George,,Ault,,
"Davies, Bryn","DavieZs, Bryn",Bryn,,Davies,,
Richard Jugge,Richard hJugge,Richard,,Jugge,,
"Sinden, Jeremy","Sinden,Jeremy",Jeremy,,Sinden,,
Frederick Cavendish,Frederick  Cavendish,Frederick,,Cavendish,,
"Carey, Archibald","Care7, Archibald",Archibald,,Carey,,
"Beaumont, Dave","Beaumont,  Dave",Dave,,Beaumont,,
Ernest Creighton,Ernest  Creighton,Ernest,,Creighton,,
"Bamford, Maria",Bamford Maria,Maria,,Bamford,,
"Dingle, Butch","Dingle,Butch",Butch,,Dingle,,
David Bailey,David.Bailey,David,,Bailey,,
"Townshend, Cliff",Townshend Cliff,Cliff,,Townshend,,
"Williamson, Mike","Williamson, Mke",Mike,,Williamson,,
John Amias,JohnAmias,John,,Amias,,
William Lloyd,William  Lloyd,William,,Lloyd,,
Henry Strauss,Henry  Strauss,Henry,,Strauss,,
"Hollins, Ellis","Hollins,,Ellis",Ellis,,Hollins,,
Otis Hartley,OtisHartley,Otis,,Hartley,,
"Hulbert, Jack","Hulbert, Jac1k",Jack,,Hulbert,,
"Reid, Alex","Reid,.Alex",Alex,,Reid,,
"Anderson, Daphne","Ancderson, Daphne",Daphne,,Anderson,,
Rob Davies,Rob  Davies,Rob,,Davies,,
"Braine, John","Braine, Jhn",John,,Braine,,
"Neate, Patrick","Neate,Patrick",Patrick,,Neate,,
Barrie Bates,BarrieBates,Barrie,,Bates,,
"Bone, Peter","Bone,.Peter",Peter,,Bone,,
"Tanqueray, Paul","Tanqueray,  Paul",Paul,,Tanqueray,,
Philip Turner,Phil9ip Turner,Philip,,Turner,,
Robert Worcester,HRobert Worcester,Robert,,Worcester,,
Brian Horton,Bran Horton,Brian,,Horton,,
"Hill, Oliver","Hill,, Oliver",Oliver,,Hill,,
"Dragas, George","Dragxas, George",George,,Dragas,,
"Rickards, John","Rickards,  John",John,,Rickards,,
Henry Compton,HenryCompton,Henry,,Compton,,
"Redmond, Moira","Rdmond, Moira",Moira,,Redmond,,
Charles Manners,CharlesManners,Charles,,Manners,,
"Hunt, Kenneth","Hunt,, Kenneth",Kenneth,,Hunt,,
Lena Jeger,LenaJeger,Lena,,Jeger,,
"Rush, Ian","Rush,Ian",Ian,,Rush,,
"Hodges, Johnny","Hodges, JohBnny",Johnny,,Hodges,,
Andrew Wilson,Andrew WilsLon,Andrew,,Wilson,,
Nicholas Nuttall,Nicholas  Nuttall,Nicholas,,Nuttall,,
"Woolston, Thomas","WooOlston, Thomas",Thomas,,Woolston,,
"Lovich, Lene","Lovich, DLene",Lene,,Lovich,,
"Truelove, Owen","Truelove,Owen",Owen,,Truelove,,
Jacob Sanders,Jacob QSanders,Jacob,,Sanders,,
Patrick Harvie,PatrickHarvie,Patrick,,Harvie,,
"Baker, Janet","Bzker, Janet",Janet,,Baker,,
Robert Vernon,Robert Ver2non,Robert,,Vernon,,
"Currie, Tony","Currie, T7ony",Tony,,Currie,,
"Lyell, Nicholas","LyelBl, Nicholas",Nicholas,,Lyell,,
Tony Rolt,Tony  Rolt,Tony,,Rolt,,
Robert Pugh,RobertPugh,Robert,,Pugh,,
Conrad Gates,ConradGates,Conrad,,Gates,,
Peter Callander,Peter  Callander,Peter,,Callander,,
"Hancox, Richard","Hancox,Richard",Richard,,Hancox,,
"Miller, Trevor","Miller,Trevor",Trevor,,Miller,,
Jeffrey Tate,Jeffrey VTate,Jeffrey,,Tate,,
"Francis, Stu","Francis,Stu",Stu,,Francis,,
Leslie Plummer,LesliePlummer,Leslie,,Plummer,,
Gilbert Longden,GilbeIt Longden,Gilbert,,Longden,,
