description,clean,noised
accuracy_parse,0.9822695035460993,0.7836879432624113
accuracy_full,0.9148936170212766,0.3617021276595745
title_accuracy_parse,,
fn_accuracy_parse,0.9964539007092199,0.8829787234042553
mn_accuracy_parse,0.9906542056074766,0.8598130841121495
ln_accuracy_parse,0.9822695035460993,0.8546099290780141
suffix_accuracy_parse,0.8333333333333334,0.6666666666666666
title_accuracy_full,,
fn_accuracy_full,0.9787234042553191,0.7127659574468085
mn_accuracy_full,0.9065420560747663,0.6448598130841121
ln_accuracy_full,0.9609929078014184,0.6524822695035462
suffix_accuracy_full,0.8333333333333334,0.7777777777777778
title_avg_dist_parse,,
fn_avg_dist_parse,0.02127659574468085,0.5141843971631206
mn_avg_dist_parse,0.056074766355140186,0.5420560747663551
ln_avg_dist_parse,0.08865248226950355,0.6524822695035462
suffix_avg_dist_parse,0.3333333333333333,0.6111111111111112
title_avg_dist_full,,
fn_avg_dist_full,0.04964539007092199,0.7163120567375887
mn_avg_dist_full,0.2336448598130841,0.9252336448598131
ln_avg_dist_full,0.12056737588652482,0.9219858156028369
suffix_avg_dist_full,0.3333333333333333,0.4444444444444444
